AnimalBreed,AnimalDesexed,AnimalGender,locality
German Shepherd X,Y,F,GLANVILLE
Beagle,Y,M,GLANVILLE
Rhodesian Ridgeback,Y,M,GLANVILLE
American Staffordshire Bull Terrier,N,M,GLANVILLE
Collie X,Y,F,GLANVILLE
West Highland Terrier X,N,M,GLANVILLE
Rhodesian Ridgeback X,N,M,EXETER
Akita,N,F,EXETER
German Shepherd,Y,M,EXETER
Cocker Spaniel,N,F,EXETER
Border Collie,Y,M,EXETER
Red Heeler,Y,M,EXETER
Silky Terrier X,Y,M,EXETER
Kelpie X,Y,F,EXETER
Malinois X,Y,F,SEMAPHORE
Bichon Frise,Y,M,SEMAPHORE
Chihuahua,Y,F,SEMAPHORE
Chihuahua,N,M,SEMAPHORE
Cavalier King Charles Spaniel,Y,F,SEMAPHORE
Blue Heeler,N,F,SEMAPHORE
Labradoodle,Y,M,SEMAPHORE
Chihuahua,Y,M,SEMAPHORE
Weimaraner,N,M,SEMAPHORE
Jack Russell Terrier,Y,F,SEMAPHORE
Schnoodle,N,M,SEMAPHORE
Cattle Dog X,Y,M,BIRKENHEAD
American Staffordshire Bull Terrier,Y,M,BIRKENHEAD
Shiba Inu,Y,F,BIRKENHEAD
Fox Terrier,Y,M,BIRKENHEAD
Shepherd X,Y,F,BIRKENHEAD
Cavalier King Charles Spaniel X,Y,F,BIRKENHEAD
Labradoodle,Y,F,BIRKENHEAD
Maltese X,Y,M,BIRKENHEAD
Kelpie X,Y,M,BIRKENHEAD
Silky Terrier,Y,F,BIRKENHEAD
Schnauzer,N,M,BIRKENHEAD
Shih Tzu X,Y,F,BIRKENHEAD
Doberman,Y,M,BIRKENHEAD
Heeler X,Y,F,BIRKENHEAD
Australian Shepherd,N,F,BIRKENHEAD
Labrador,N,M,BIRKENHEAD
Blue Heeler,Y,F,BIRKENHEAD
Pomeranian X,Y,F,BIRKENHEAD
Labrador,Y,F,BIRKENHEAD
Staffordshire Bull Terrier,Y,F,BIRKENHEAD
Labrador,N,F,BIRKENHEAD
Cocker Spaniel,Y,F,BIRKENHEAD
Kelpie X,Y,F,EXETER
Maltese X,Y,F,EXETER
Jack Russell Terrier X,Y,M,EXETER
Boxer,Y,F,EXETER
Maltese X,Y,F,EXETER
Pugalier,Y,M,EXETER
Shih Tzu X,Y,M,EXETER
Staffordshire Bull Terrier,Y,M,EXETER
Staffordshire Bull Terrier,Y,F,EXETER
Jack Russell Terrier X,Y,F,EXETER
Kelpie X,N,M,EXETER
Greyhound,Y,M,EXETER
Labrador,Y,F,EXETER
Jack Russell Terrier,Y,F,EXETER
Poodle - Standard,Y,M,EXETER
Poodle X,Y,F,EXETER
Pug,N,M,EXETER
Kelpie X,Y,F,EXETER
Kelpie X,Y,F,EXETER
Chihuahua X,Y,F,EXETER
Jack Russell Terrier,N,M,EXETER
English Staffordshire Bull Terrier,Y,F,EXETER
American Staffordshire Bull Terrier,Y,F,EXETER
Labrador,Y,F,EXETER
Beagle X,Y,M,EXETER
Cocker Spaniel X,Y,M,EXETER
Staffordshire Bull Terrier,Y,F,EXETER
Border Collie X,Y,M,EXETER
Chihuahua,Y,F,EXETER
Weimaraner,Y,F,EXETER
Rottweiler X,Y,F,EXETER
Labrador,Y,F,EXETER
Greyhound,Y,M,EXETER
Maltese X,Y,M,EXETER
Labrador X,Y,M,EXETER
Maltese X,N,M,EXETER
Staffordshire Bull Terrier X,Y,M,EXETER
Shepherd,N,M,EXETER
Shepherd,N,M,EXETER
Kelpie X,Y,M,EXETER
Yorkshire Terrier,N,M,EXETER
Yorkshire Terrier,N,M,EXETER
Dachshund - Miniature,Y,F,EXETER
Kelpie X,Y,M,EXETER
Fox Terrier X,Y,F,EXETER
Shih Tzu X,Y,F,EXETER
Bichon Frise,Y,F,EXETER
Bichon Frise X,Y,F,EXETER
Greyhound,Y,F,EXETER
Kelpie X,Y,M,EXETER
Terrier X,Y,F,EXETER
Basset Hound,Y,F,EXETER
Golden Retriever,Y,F,EXETER
Hungarian Viszla,Y,F,EXETER
Poodle - Standard,N,M,EXETER
Hungarian Viszla,Y,M,EXETER
Labrador X,Y,M,EXETER
Rottweiler X,Y,F,EXETER
Border Collie X,Y,M,EXETER
Labrador X,Y,M,EXETER
Alaskan Malamute X,Y,M,EXETER
Labrador X,Y,M,EXETER
Staffordshire Bull Terrier X,Y,M,EXETER
Staffordshire Bull Terrier X,Y,M,EXETER
Beagle,Y,F,EXETER
Siberian Husky,Y,F,EXETER
Chihuahua,Y,F,EXETER
Chihuahua,Y,M,EXETER
Bull Mastiff,N,M,EXETER
Pomeranian X - Miniature,Y,M,EXETER
Shih Tzu X,Y,M,EXETER
Labrador,Y,M,EXETER
Maltese X,N,F,EXETER
Cavalier King Charles Spaniel X,Y,M,LARGS BAY
Cavalier King Charles Spaniel,Y,M,EXETER
Moodle,Y,M,EXETER
Retriever X,N,F,EXETER
Cattle Dog X,N,F,EXETER
Border Collie X,Y,F,EXETER
Kelpie X,Y,M,EXETER
Kelpie X,Y,M,EXETER
Kelpie,N,F,EXETER
Spoodle,Y,M,EXETER
Kelpie X,Y,F,EXETER
Maltese,Y,F,EXETER
Maltese X,Y,M,EXETER
Border Collie,Y,M,EXETER
Maltese X,Y,M,EXETER
Kelpie,Y,M,EXETER
Border Collie,Y,F,EXETER
Moodle,Y,M,EXETER
Australian Shepherd,Y,M,EXETER
Rottweiler X,N,M,EXETER
Alaskan Malamute X,Y,M,EXETER
Rottweiler X,Y,M,EXETER
Poodle - Miniature,Y,F,EXETER
Labrador X,Y,F,EXETER
Labrador X,Y,M,EXETER
Akita X,Y,M,EXETER
Australian Terrier X,Y,M,EXETER
French Bulldog,Y,F,EXETER
Whippet,Y,M,EXETER
Whippet,Y,F,EXETER
Italian Greyhound,Y,F,EXETER
Blue Heeler,Y,M,EXETER
Staffordshire Bull Terrier,Y,M,EXETER
Maltese,Y,F,EXETER
Maltese,Y,M,EXETER
Dalmation,Y,F,EXETER
German Shorthaired Pointer,Y,M,EXETER
Maltese X,Y,F,EXETER
Maltese X,Y,F,EXETER
Staffordshire Bull Terrier X,Y,M,EXETER
Pug,Y,M,EXETER
British Bulldog,Y,M,EXETER
Pug,Y,M,EXETER
Tenterfield Terrier X,Y,M,BIRKENHEAD
Beagle X,Y,F,BIRKENHEAD
Old English Sheepdog,Y,F,BIRKENHEAD
Labrador X,N,F,BIRKENHEAD
Staffordshire Bull Terrier X,N,F,BIRKENHEAD
Labrador,N,M,BIRKENHEAD
Airedale Terrier,Y,F,BIRKENHEAD
German Shepherd,Y,F,BIRKENHEAD
Labrador,Y,F,BIRKENHEAD
Staffordshire Bull Terrier,Y,M,BIRKENHEAD
Shih Tzu X,N,M,BIRKENHEAD
Jack Russell Terrier X,Y,F,BIRKENHEAD
Beagle,Y,M,BIRKENHEAD
Maltese,Y,M,BIRKENHEAD
Maremma Sheepdog,N,F,BIRKENHEAD
Bull Mastiff,Y,M,BIRKENHEAD
Husky,Y,F,BIRKENHEAD
German Shepherd,Y,F,BIRKENHEAD
Maltese X,N,F,EXETER
Boxer,Y,M,EXETER
Border Collie X,Y,F,EXETER
Fox Terrier X - Miniature,Y,F,EXETER
Pomeranian X,Y,F,EXETER
Kelpie X,Y,M,EXETER
English Staffordshire Bull Terrier,Y,F,EXETER
Labradoodle,Y,F,EXETER
Kelpie X,Y,F,EXETER
German Shorthaired Pointer,Y,F,EXETER
Maltese X,Y,M,EXETER
Border Collie,Y,F,EXETER
Cattle Dog,N,F,EXETER
Staffordshire Bull Terrier,Y,M,EXETER
American Staffordshire Bull Terrier X,Y,F,EXETER
American Staffordshire Bull Terrier X,Y,M,EXETER
Blue Heeler,Y,M,EXETER
Staffordshire Bull Terrier X,Y,F,EXETER
Shar Pei X,Y,F,EXETER
Staffordshire Bull Terrier X,Y,F,EXETER
Kelpie X,Y,F,EXETER
Cattle Dog,Y,M,LARGS BAY
Pomeranian,Y,F,LARGS BAY
Spoodle,Y,F,LARGS BAY
Irish Terrier,N,F,LARGS BAY
Irish Terrier,N,F,LARGS BAY
Maltese X,Y,F,LARGS BAY
Maltese X,Y,F,LARGS BAY
Alaskan Malamute,Y,M,LARGS BAY
Spoodle,Y,M,LARGS BAY
Staffordshire Bull Terrier,Y,F,LARGS BAY
Heeler X,Y,F,LARGS BAY
Fox Terrier - Miniature,Y,F,LARGS BAY
American Staffordshire Bull Terrier X,N,F,LARGS BAY
German Shorthaired Pointer,Y,F,LARGS BAY
German Shorthaired Pointer,Y,F,LARGS BAY
Collie X,Y,F,LARGS BAY
Terrier,Y,M,LARGS BAY
Kelpie,Y,M,LARGS BAY
Pomeranian X,Y,F,LARGS BAY
Kelpie,Y,M,LARGS BAY
Labrador,Y,F,LARGS BAY
Munsterlander,Y,F,LARGS BAY
Spoodle,Y,F,LARGS BAY
West Highland Terrier,Y,F,LARGS BAY
Labrador,Y,F,LARGS BAY
Beagle,Y,F,LARGS BAY
German Shepherd,Y,F,LARGS BAY
Kelpie X,N,M,LARGS BAY
Border Collie X,Y,F,LARGS BAY
Jack Russell Terrier X,Y,M,LARGS BAY
Kelpie X,Y,F,LARGS BAY
Kelpie X,Y,F,LARGS BAY
Cairn Terrier,Y,M,LARGS BAY
Cocker Spaniel,Y,F,LARGS BAY
Wolfhound X,Y,M,LARGS BAY
Dalmation,N,M,LARGS BAY
Poodle X,Y,F,LARGS BAY
Kelpie,Y,F,LARGS BAY
Groodle,Y,F,LARGS BAY
American Staffordshire Bull Terrier,Y,M,LARGS BAY
Kelpie,Y,F,LARGS BAY
Chihuahua X,Y,F,LARGS BAY
Cavalier King Charles Spaniel,Y,F,LARGS BAY
West Highland Terrier X,N,M,LARGS BAY
Labrador,Y,M,LARGS BAY
Labradoodle,N,F,LARGS BAY
Cocker Spaniel,Y,M,LARGS BAY
Maltese X,Y,M,LARGS BAY
Maltese Terrier X,Y,F,LARGS BAY
Maltese X,Y,M,LARGS BAY
Cattle Dog X,Y,M,LARGS BAY
Labrador X,Y,F,LARGS BAY
Border Collie X,Y,F,LARGS BAY
Border Collie X,Y,F,LARGS BAY
Spoodle X,Y,M,LARGS BAY
Cavoodle,Y,M,LARGS BAY
Poodle X,Y,F,LARGS BAY
Poodle X,Y,F,LARGS BAY
Maltese X,Y,F,LARGS BAY
Maltese X,Y,F,LARGS BAY
Spoodle,Y,F,LARGS BAY
Jack Russell Terrier X,Y,F,LARGS BAY
Labrador X,Y,F,LARGS BAY
Collie X,Y,F,PETERHEAD
Border Collie X,Y,F,PETERHEAD
Jack Russell Terrier X,Y,M,PETERHEAD
Jack Russell Terrier X,Y,M,PETERHEAD
Siberian Husky,Y,M,PETERHEAD
Alaskan Malamute,Y,M,PETERHEAD
Heeler X,Y,M,PETERHEAD
Labrador,Y,M,PETERHEAD
Beagle,Y,F,PETERHEAD
Boxer,N,F,PETERHEAD
Greyhound,Y,F,PETERHEAD
Greyhound,Y,F,PETERHEAD
Staffordshire Bull Terrier X,Y,F,PETERHEAD
Australian Bulldog,Y,F,PETERHEAD
Fox Terrier - Miniature,Y,M,PETERHEAD
Dachshund X,Y,M,PETERHEAD
Boxer,Y,M,PETERHEAD
Fox Terrier X,Y,F,PETERHEAD
Doberman,N,F,PETERHEAD
Italian Greyhound,N,F,PETERHEAD
Fox Terrier X,Y,F,PETERHEAD
Maltese X,N,M,PETERHEAD
English Staffordshire Bull Terrier,N,M,PETERHEAD
Staffordshire Bull Terrier,Y,F,PETERHEAD
Staffordshire Bull Terrier,Y,M,PETERHEAD
Staffordshire Bull Terrier,Y,F,PETERHEAD
Labradoodle,Y,M,PETERHEAD
Labrador X,Y,F,PETERHEAD
Spoodle,Y,M,PETERHEAD
NULL,N,M,PETERHEAD
Maltese X,Y,F,PETERHEAD
German Shorthaired Pointer,N,M,PETERHEAD
Husky,N,M,PETERHEAD
Maltese X,N,M,PETERHEAD
Rhodesian Ridgeback,Y,F,PETERHEAD
Boxer,Y,M,PETERHEAD
Maltese,Y,F,PETERHEAD
Fox Terrier,Y,M,PETERHEAD
Pugalier,Y,M,PETERHEAD
Labrador,Y,F,PETERHEAD
Australian Bulldog,Y,M,PETERHEAD
Australian Bulldog,N,M,LARGS BAY
Heeler X,Y,F,LARGS BAY
American Staffordshire Bull Terrier,Y,M,LARGS BAY
Labrador,Y,F,PETERHEAD
Maltese X,Y,F,PETERHEAD
Staffordshire Bull Terrier,Y,M,PETERHEAD
Terrier X,Y,M,PETERHEAD
Staffordshire Bull Terrier X,Y,F,PETERHEAD
Staffordshire Bull Terrier X,Y,M,PETERHEAD
Jack Russell Terrier X,N,F,PETERHEAD
Kelpie X,N,M,PETERHEAD
Poodle - Toy,Y,F,PETERHEAD
Border Collie,Y,F,PETERHEAD
Chihuahua X,N,M,PETERHEAD
Pug,Y,M,PETERHEAD
German Shepherd,Y,M,PETERHEAD
Labrador,Y,F,PETERHEAD
Jack Russell Terrier X,Y,F,PETERHEAD
Groodle,Y,M,LARGS BAY
Spoodle,Y,F,LARGS BAY
Labrador,Y,F,LARGS BAY
Welsh Springer Spaniel,Y,M,LARGS BAY
Staffordshire Bull Terrier,N,M,LARGS BAY
Lhasa Apso,Y,F,LARGS BAY
Maltese X,Y,M,LARGS BAY
Labrador,Y,M,LARGS BAY
Border Collie X,Y,F,LARGS BAY
Terrier X,Y,F,LARGS BAY
German Shepherd,Y,F,LARGS BAY
Bull Terrier,Y,F,LARGS BAY
Bull Terrier,N,M,LARGS BAY
Maltese X,Y,U,LARGS BAY
Pug,Y,M,LARGS BAY
American Staffordshire Bull Terrier,Y,M,LARGS BAY
Terrier X,Y,M,LARGS BAY
Jack Russell Terrier,Y,M,LARGS BAY
Border Collie,Y,F,LARGS BAY
Dalmation,Y,F,LARGS BAY
Mastiff X,Y,M,LARGS BAY
Boxer,N,M,LARGS BAY
Jack Russell Terrier X,Y,M,LARGS BAY
Great Dane X,Y,F,LARGS BAY
Greyhound,Y,F,LARGS BAY
Greyhound,Y,F,LARGS BAY
Maltese Terrier X,N,F,LARGS BAY
German Shepherd,Y,F,LARGS BAY
Dalmation,Y,M,LARGS BAY
Wolfhound X,Y,F,LARGS BAY
Beagle X,Y,M,LARGS BAY
Cattle Dog X,Y,M,LARGS BAY
Red Heeler X,Y,M,LARGS BAY
Border Collie,Y,M,LARGS BAY
Border Collie,Y,F,LARGS BAY
Labrador,Y,M,LARGS BAY
German Coolie,N,F,LARGS BAY
Staffordshire Bull Terrier,Y,F,LARGS BAY
Staffordshire Bull Terrier,Y,M,LARGS BAY
Blue Heeler,Y,F,LARGS BAY
Staffordshire Bull Terrier,N,M,LARGS BAY
Fox Terrier,Y,M,LARGS BAY
Border Collie X,Y,M,LARGS BAY
Border Collie X,Y,M,LARGS BAY
Staffordshire Bull Terrier,Y,F,LARGS BAY
Jack Russell Terrier,Y,F,LARGS BAY
Chihuahua,Y,F,LARGS BAY
Staffordshire Bull Terrier,Y,F,LARGS BAY
Terrier X,Y,F,LARGS BAY
Bichon Frise X,N,F,LARGS BAY
Fox Terrier,Y,F,LARGS BAY
Silky Terrier X,Y,F,LARGS BAY
Maltese X,N,F,LARGS BAY
Labrador,Y,M,LARGS BAY
Pinscher - Miniature,Y,M,LARGS BAY
Staffordshire Bull Terrier,Y,F,LARGS BAY
Staffordshire Bull Terrier,Y,M,LARGS BAY
Poodle,Y,F,LARGS BAY
Staffordshire Bull Terrier,Y,F,LARGS BAY
Fox Terrier X,Y,F,LARGS BAY
Labradoodle,Y,M,LARGS BAY
West Highland Terrier,Y,M,LARGS BAY
Akita,Y,M,LARGS BAY
Pomeranian,Y,F,LARGS BAY
Jack Russell Terrier,Y,F,LARGS BAY
Beagle,N,M,LARGS BAY
Jack Russell Terrier,Y,M,LARGS BAY
Fox Terrier X,Y,F,LARGS BAY
German Shorthaired Pointer,Y,F,LARGS BAY
Cattle Dog,Y,F,LARGS BAY
Cattle Dog,Y,M,LARGS BAY
Dogue de Bordeaux,Y,F,LARGS BAY
Bull Mastiff X,Y,M,LARGS BAY
Labrador X,Y,F,LARGS BAY
Moodle,Y,M,LARGS BAY
Staffordshire Bull Terrier,Y,M,LARGS BAY
Labradoodle,Y,F,LARGS BAY
Labrador,Y,F,LARGS BAY
Kelpie,Y,F,LARGS BAY
German Shepherd X,Y,M,LARGS BAY
Staffordshire Bull Terrier X,Y,F,LARGS BAY
Maremma Sheepdog,Y,F,LARGS BAY
American Staffordshire Bull Terrier X,Y,F,LARGS BAY
Boxer,N,F,LARGS BAY
Red Heeler,Y,M,LARGS BAY
Boxer X,N,M,LARGS BAY
Chihuahua X,N,M,LARGS BAY
Spoodle,Y,F,LARGS BAY
Maltese X,Y,M,LARGS BAY
Maltese X,Y,M,LARGS BAY
Lagotto Romagnolo,Y,F,LARGS BAY
Labrador,N,M,LARGS BAY
Cavalier King Charles Spaniel,Y,M,LARGS BAY
Greyhound,N,F,LARGS BAY
West Highland Terrier X,Y,F,LARGS BAY
Maltese X,Y,F,LARGS BAY
German Shepherd X,Y,M,LARGS BAY
Retriever X,Y,F,LARGS BAY
Jack Russell Terrier X,Y,M,LARGS BAY
Schnauzer,Y,F,LARGS BAY
Schnauzer,Y,M,LARGS BAY
American Staffordshire Bull Terrier,Y,F,LARGS BAY
Cavalier King Charles Spaniel,Y,M,LARGS BAY
Labrador,N,F,LARGS BAY
Staffordshire Bull Terrier X,Y,F,LARGS BAY
Beagle,Y,F,LARGS BAY
Schnauzer X - Miniature,Y,M,LARGS BAY
Dachshund - Miniature,Y,F,LARGS BAY
Boxer,Y,M,LARGS BAY
Spoodle,N,F,LARGS BAY
Labrador,N,F,LARGS BAY
Maltese Terrier X,Y,F,LARGS BAY
Border Collie,Y,M,LARGS BAY
Staffordshire Bull Terrier,Y,M,LARGS BAY
Silky Terrier,Y,M,LARGS BAY
Blue Heeler,N,M,LARGS BAY
American Staffordshire Bull Terrier,Y,F,LARGS BAY
Golden Retriever,N,F,LARGS BAY
Staffordshire Bull Terrier X,Y,F,LARGS BAY
Bichon Frise,Y,M,LARGS BAY
Bichon Frise,N,F,LARGS BAY
Staffordshire Bull Terrier,Y,F,LARGS BAY
Labrador,Y,M,LARGS BAY
Labradoodle,Y,M,LARGS BAY
Labradoodle X,Y,F,LARGS BAY
Cavalier King Charles Spaniel X,N,F,LARGS BAY
Labrador,N,F,LARGS BAY
Poodle X,N,M,LARGS BAY
Golden Retriever,Y,M,LARGS BAY
Cavalier King Charles Spaniel,Y,F,LARGS BAY
Poodle,Y,M,LARGS BAY
Poodle - Toy,Y,M,LARGS BAY
Labrador,Y,M,LARGS BAY
Border Collie,Y,F,LARGS BAY
Border Collie,Y,F,LARGS BAY
Staffordshire Bull Terrier X,Y,F,LARGS BAY
Staffordshire Bull Terrier X,Y,M,LARGS BAY
Kelpie X,N,M,LARGS BAY
Labrador,Y,F,LARGS BAY
Blue Heeler,Y,F,LARGS BAY
Maltese X,Y,F,LARGS BAY
Retriever X,Y,M,LARGS BAY
Kelpie,Y,M,LARGS BAY
Cavalier King Charles Spaniel,Y,M,LARGS BAY
Fox Terrier,Y,F,LARGS BAY
German Shepherd X,Y,F,LARGS BAY
Golden Retriever,Y,M,LARGS BAY
Greyhound X,Y,M,LARGS BAY
Cavalier King Charles Spaniel,Y,F,LARGS BAY
Cavalier King Charles Spaniel,Y,F,LARGS BAY
Maltese X,Y,M,LARGS BAY
German Shepherd X,N,M,LARGS BAY
Beagle X,N,M,LARGS BAY
Maltese Terrier X,Y,M,LARGS BAY
Cavalier King Charles Spaniel,Y,M,LARGS BAY
Cavalier King Charles Spaniel,Y,M,LARGS BAY
Labrador,N,F,LARGS BAY
Labrador,N,F,LARGS BAY
Chihuahua X,N,M,LARGS BAY
Cocker Spaniel,Y,F,LARGS BAY
Shih Tzu X,Y,M,LARGS BAY
American Staffordshire Bull Terrier,Y,M,LARGS BAY
Blue Heeler X,N,F,LARGS BAY
Blue Heeler,N,M,LARGS BAY
Labrador X,Y,M,LARGS BAY
Beagle,Y,F,LARGS BAY
Red Heeler X,N,M,LARGS BAY
Weimaraner,Y,M,LARGS BAY
Beagle X,Y,M,LARGS BAY
Schnauzer,Y,F,LARGS BAY
Old English Sheepdog,Y,F,LARGS BAY
Old English Sheepdog,Y,F,LARGS BAY
Australian Terrier,Y,M,LARGS BAY
Chihuahua,Y,M,LARGS BAY
Groodle,Y,M,LARGS BAY
Akita,Y,M,LARGS BAY
Tenterfield Terrier,N,M,LARGS BAY
Cairn Terrier,Y,M,LARGS BAY
Cavoodle,Y,M,LARGS BAY
Spoodle,Y,M,LARGS BAY
Labrador,Y,F,LARGS BAY
Staffordshire Bull Terrier X,Y,F,LARGS BAY
Cairn Terrier,Y,F,LARGS BAY
German Shepherd,Y,F,LARGS BAY
American Staffordshire Bull Terrier,N,M,LARGS BAY
Maltese X,Y,F,LARGS BAY
Jack Russell Terrier X,Y,F,LARGS BAY
Golden Retriever,Y,F,LARGS BAY
Golden Retriever X,Y,F,LARGS BAY
Maltese X,Y,F,LARGS BAY
Boxer,N,M,LARGS BAY
Jack Russell Terrier,Y,F,LARGS BAY
Scotch Terrier X,Y,F,LARGS BAY
American Bulldog,N,M,LARGS BAY
Staffordshire Bull Terrier,Y,F,LARGS BAY
English Staffordshire Bull Terrier,Y,M,LARGS BAY
Pinscher - Miniature,Y,F,LARGS BAY
Rottweiler,Y,F,LARGS BAY
Australian Terrier X - Miniature,N,M,LARGS BAY
Maltese X,Y,F,LARGS BAY
Golden Retriever,Y,M,LARGS BAY
Heeler X,Y,M,LARGS BAY
German Shorthaired Pointer,Y,M,LARGS BAY
Terrier X,Y,M,LARGS BAY
Shih Tzu X,Y,F,LARGS BAY
Pomeranian,Y,F,LARGS BAY
Shar Pei,N,M,SEMAPHORE
Shar Pei,N,F,SEMAPHORE
Staffordshire Bull Terrier,Y,M,SEMAPHORE
Jack Russell Terrier X,Y,M,SEMAPHORE
Border Collie,Y,M,SEMAPHORE
Bull Terrier X,Y,F,SEMAPHORE
Staffordshire Bull Terrier,Y,F,SEMAPHORE
Maltese X,Y,M,SEMAPHORE
Staffordshire Bull Terrier X,Y,F,SEMAPHORE
Akita,N,M,SEMAPHORE
Akita,Y,M,SEMAPHORE
Akita,Y,F,SEMAPHORE
Border Collie X,Y,M,SEMAPHORE
Kelpie X,Y,F,SEMAPHORE
German Shepherd,Y,M,SEMAPHORE
Kelpie X,Y,M,SEMAPHORE
Poodle X,Y,F,SEMAPHORE
Border Collie,Y,F,SEMAPHORE
Cocker Spaniel X,Y,F,SEMAPHORE
American Staffordshire Bull Terrier,Y,F,SEMAPHORE
Golden Retriever,Y,U,SEMAPHORE
Jack Russell Terrier X,Y,F,SEMAPHORE
Kelpie X,Y,F,SEMAPHORE
Kelpie X,Y,F,SEMAPHORE
Shih Tzu X,Y,M,SEMAPHORE
Shetland Sheepdog (Sheltie),Y,M,SEMAPHORE
Shetland Sheepdog (Sheltie),Y,F,SEMAPHORE
Border Collie,Y,F,SEMAPHORE
Maltese X,Y,M,SEMAPHORE
Staffordshire Bull Terrier X,Y,M,SEMAPHORE
American Staffordshire Bull Terrier,N,M,SEMAPHORE
Border Collie X,Y,M,SEMAPHORE
Cocker Spaniel,N,M,SEMAPHORE
Cocker Spaniel,N,F,SEMAPHORE
Maltese X,Y,F,SEMAPHORE
Schnauzer - Miniature,N,M,SEMAPHORE
Rhodesian Ridgeback,Y,M,SEMAPHORE
Rhodesian Ridgeback,Y,F,SEMAPHORE
Rhodesian Ridgeback X,Y,M,SEMAPHORE
Maltese X,N,F,SEMAPHORE
Border Collie,Y,M,SEMAPHORE
Australian Shepherd,Y,F,SEMAPHORE
Cocker Spaniel,Y,M,SEMAPHORE
Cocker Spaniel,Y,F,SEMAPHORE
Border Collie,N,M,SEMAPHORE
Jack Russell Terrier,Y,F,SEMAPHORE
Golden Retriever,Y,F,SEMAPHORE
Labrador,Y,M,SEMAPHORE
Jack Russell Terrier,Y,M,SEMAPHORE
Jack Russell Terrier,Y,F,SEMAPHORE
Kelpie X,Y,F,SEMAPHORE
Jack Russell Terrier X,Y,M,SEMAPHORE
Shar Pei X,Y,F,SEMAPHORE
Border Collie X,N,F,SEMAPHORE
Labrador,Y,M,SEMAPHORE
Fox Terrier X,Y,F,SEMAPHORE
West Highland Terrier,Y,M,SEMAPHORE
Shepherd,Y,F,SEMAPHORE
Shepherd,Y,M,SEMAPHORE
Heeler X,Y,F,SEMAPHORE
Beagle,Y,F,SEMAPHORE
Jack Russell Terrier X,Y,F,SEMAPHORE
Jack Russell Terrier X,N,M,SEMAPHORE
Jack Russell Terrier - Miniature,N,M,SEMAPHORE
Jack Russell Terrier,Y,M,SEMAPHORE
Tenterfield Terrier,Y,F,SEMAPHORE
Tenterfield Terrier,Y,F,SEMAPHORE
English Springer Spaniel,Y,M,SEMAPHORE
Labradoodle - Miniature,Y,M,SEMAPHORE
Maltese X,N,F,SEMAPHORE
Kelpie X,Y,F,SEMAPHORE
American Staffordshire Bull Terrier X,Y,F,SEMAPHORE
Golden Retriever X,Y,F,SEMAPHORE
Boxer,N,M,SEMAPHORE
Pomeranian X,Y,M,SEMAPHORE
Terrier X,Y,F,SEMAPHORE
Labrador,Y,F,SEMAPHORE
Labrador,Y,M,SEMAPHORE
Labradoodle,Y,M,SEMAPHORE
West Highland Terrier X,Y,M,SEMAPHORE
Kelpie X,Y,M,SEMAPHORE
Finnish Lapphund,Y,M,SEMAPHORE
Border Collie,Y,M,SEMAPHORE
Schnauzer,Y,M,SEMAPHORE
Pomeranian X,Y,M,SEMAPHORE
Spoodle,Y,M,SEMAPHORE
Groodle,Y,F,SEMAPHORE
Cavoodle,Y,M,SEMAPHORE
Shih Tzu X,Y,F,SEMAPHORE
Border Collie,Y,M,SEMAPHORE
Maltese,Y,F,SEMAPHORE
Bichon Frise,N,F,SEMAPHORE
Cavoodle,Y,F,SEMAPHORE
Labradoodle - Miniature,Y,M,SEMAPHORE
Labrador,Y,F,SEMAPHORE
Staffordshire Bull Terrier,Y,M,SEMAPHORE
German Shepherd,Y,M,SEMAPHORE
Cavalier King Charles Spaniel,Y,M,SEMAPHORE
Cavalier King Charles Spaniel,Y,M,SEMAPHORE
Cavalier King Charles Spaniel,Y,F,SEMAPHORE
Labrador,N,F,SEMAPHORE
Cavalier King Charles Spaniel X,Y,F,SEMAPHORE
Labrador,Y,F,SEMAPHORE
Collie X,Y,F,SEMAPHORE
Labrador X,Y,M,LARGS BAY
Labrador X,Y,M,LARGS BAY
Kelpie X,Y,F,LARGS BAY
Cattle Dog,Y,F,LARGS BAY
Cattle Dog,Y,F,LARGS BAY
German Shepherd,N,M,LARGS BAY
German Shepherd,Y,F,LARGS BAY
Kelpie,Y,F,LARGS BAY
Spoodle,Y,F,LARGS BAY
Poodle - Miniature,Y,M,LARGS BAY
Cavoodle,N,F,SEMAPHORE
Kelpie X,Y,F,SEMAPHORE
Cavalier King Charles Spaniel,Y,M,SEMAPHORE
Labrador X,Y,M,SEMAPHORE
Rhodesian Ridgeback X,Y,M,SEMAPHORE
Poodle - Toy,Y,M,SEMAPHORE
Poodle - Toy,Y,F,SEMAPHORE
Terrier X,Y,M,SEMAPHORE
Maltese X,Y,M,SEMAPHORE
Maltese Terrier X,Y,F,SEMAPHORE
Tenterfield Terrier,Y,F,SEMAPHORE
Labrador,Y,F,SEMAPHORE
Maltese Terrier X,Y,F,SEMAPHORE
Jack Russell Terrier,Y,F,SEMAPHORE
Shih Tzu X,Y,M,SEMAPHORE
Boxer,Y,M,SEMAPHORE
Cocker Spaniel,Y,M,SEMAPHORE
Labrador,Y,F,SEMAPHORE
Cavalier King Charles Spaniel,Y,F,SEMAPHORE
Terrier X,Y,M,SEMAPHORE
Cocker Spaniel,Y,M,SEMAPHORE
