AnimalBreed,AnimalDesexed,AnimalGender,locality
Labrador X,Y,F,MANNINGHAM
Pomeranian,N,M,MANNINGHAM
Hungarian Viszla,Y,M,MANNINGHAM
Border Collie,N,F,MANNINGHAM
Fox Terrier X,Y,M,BLAIR ATHOL
Chihuahua,Y,M,BLAIR ATHOL
Chihuahua X,Y,F,BLAIR ATHOL
Scotch Terrier,Y,F,KLEMZIG
British Bulldog,N,M,KLEMZIG
Chihuahua,Y,M,KLEMZIG
Cairn Terrier,Y,M,KLEMZIG
Husky X,Y,M,KLEMZIG
Maltese X,Y,F,KLEMZIG
Fox Terrier X,Y,M,KLEMZIG
Labradoodle,N,F,ENFIELD
Labradoodle,Y,M,ENFIELD
Labradoodle - Miniature,N,F,ENFIELD
Maltese X,Y,F,ENFIELD
Maltese X,Y,M,ENFIELD
Chihuahua,N,F,GILLES PLAINS
Cross Breed,N,F,GILLES PLAINS
Jack Russell Terrier,Y,F,GILLES PLAINS
Boxer,Y,M,GILLES PLAINS
Irish Terrier,Y,M,BROADVIEW
Airedale Terrier,Y,F,BROADVIEW
Husky,Y,M,BROADVIEW
Shiba Inu,Y,F,BROADVIEW
Chihuahua,N,F,BROADVIEW
Boxer,N,M,BROADVIEW
Bull Terrier,Y,M,BROADVIEW
Groodle,Y,M,BROADVIEW
Poodle X,Y,F,BROADVIEW
Mastiff X,N,M,BROADVIEW
Fox Terrier,Y,F,BROADVIEW
Kelpie X,Y,F,BROADVIEW
Dalmation,Y,F,BLAIR ATHOL
Maltese X,N,M,BLAIR ATHOL
Maltese X,Y,F,BLAIR ATHOL
Bull Terrier,N,F,BLAIR ATHOL
Blue Heeler,Y,M,BLAIR ATHOL
Cattle Dog,Y,M,BLAIR ATHOL
Maltese Terrier X,Y,F,BLAIR ATHOL
Silky Terrier X,Y,F,BLAIR ATHOL
German Shepherd X,Y,M,BLAIR ATHOL
Red Heeler X,Y,F,BLAIR ATHOL
Kelpie X,Y,F,BLAIR ATHOL
Maltese Terrier X,Y,M,BLAIR ATHOL
Kelpie X,Y,F,BLAIR ATHOL
Labrador,Y,F,CLEARVIEW
Airedale Terrier,Y,F,CLEARVIEW
Jack Russell Terrier,Y,M,CLEARVIEW
Tibetan Spaniel,Y,F,CLEARVIEW
Maltese X,Y,F,CLEARVIEW
Shih Tzu X,Y,F,CLEARVIEW
Terrier X,Y,F,CLEARVIEW
Maltese X,Y,M,CLEARVIEW
Pointer,N,F,CLEARVIEW
Heeler X,Y,M,CLEARVIEW
Jack Russell Terrier X,Y,F,CLEARVIEW
Labradoodle,Y,M,CLEARVIEW
Labrador X,N,M,CLEARVIEW
Labrador,Y,M,CLEARVIEW
Tenterfield Terrier X,Y,M,MANSFIELD PARK
Maltese Terrier X,Y,F,MANSFIELD PARK
Kelpie X,Y,F,NORTHFIELD
Staffordshire Bull Terrier X,Y,F,KLEMZIG
Poodle - Miniature,N,M,KLEMZIG
Bull Mastiff X,Y,F,KLEMZIG
Labrador,Y,F,KLEMZIG
Boxer,N,M,KLEMZIG
Siberian Husky,N,M,KLEMZIG
Jack Russell Terrier,N,F,KLEMZIG
Jack Russell Terrier,Y,F,KLEMZIG
Maltese X,Y,F,KLEMZIG
Husky,Y,F,KLEMZIG
Chihuahua,Y,M,KLEMZIG
Cocker Spaniel,Y,M,KLEMZIG
Chihuahua X,Y,M,KLEMZIG
Chihuahua X,Y,M,KLEMZIG
Kelpie,N,M,KLEMZIG
Terrier,Y,M,KLEMZIG
White Swiss Shepherd,Y,M,KLEMZIG
White Swiss Shepherd,N,F,KLEMZIG
Border Collie,Y,M,HAMPSTEAD GARDENS
Shetland Sheepdog (Sheltie),Y,M,HAMPSTEAD GARDENS
Shetland Sheepdog (Sheltie),Y,M,HAMPSTEAD GARDENS
Kelpie,N,M,HAMPSTEAD GARDENS
Silky Terrier X,Y,F,ENFIELD
Labrador,Y,M,ENFIELD
Jack Russell Terrier X,Y,F,ENFIELD
Labrador X,Y,F,ENFIELD
Cocker Spaniel,Y,M,ENFIELD
Alaskan Malamute,N,M,ENFIELD
Alaskan Malamute,N,F,ENFIELD
American Staffordshire Bull Terrier,N,F,ENFIELD
Staffordshire Bull Terrier,N,M,ENFIELD
Jack Russell Terrier X,Y,M,ENFIELD
Fox Terrier,N,F,ENFIELD
Border Terrier,Y,F,ENFIELD
Border Terrier,Y,M,ENFIELD
Bull Mastiff X,Y,M,ENFIELD
Kelpie X,N,M,ENFIELD
Kelpie X,N,F,ENFIELD
Jack Russell Terrier X,Y,M,ENFIELD
Fox Terrier X,Y,F,ENFIELD
Rottweiler X,Y,F,KLEMZIG
Kelpie X,Y,F,KLEMZIG
Jack Russell Terrier - Miniature,Y,F,KLEMZIG
Labrador X,N,M,KLEMZIG
Poodle X - Toy,Y,F,KLEMZIG
Schnauzer,Y,F,KLEMZIG
Maltese X,N,M,KLEMZIG
Jack Russell Terrier,Y,F,KLEMZIG
Greyhound,Y,F,KLEMZIG
American Staffordshire Bull Terrier,Y,M,ENFIELD
Kelpie X,Y,F,ENFIELD
Akita X,N,F,ENFIELD
Akita X,N,M,ENFIELD
Maltese X,Y,M,ENFIELD
Chihuahua,N,F,ENFIELD
Pug X,Y,M,WINDSOR GARDENS
Labrador X,Y,M,WINDSOR GARDENS
Labrador,N,F,WINDSOR GARDENS
German Shepherd,N,F,WINDSOR GARDENS
German Shepherd,Y,M,WINDSOR GARDENS
Red Heeler X,N,M,OAKDEN
Fox Terrier X,Y,F,OAKDEN
Beagle,Y,F,OAKDEN
Beagle,Y,F,OAKDEN
Kelpie X,Y,F,CLEARVIEW
Kelpie X,Y,F,CLEARVIEW
Poodle,Y,M,CLEARVIEW
Kelpie,Y,M,CLEARVIEW
Bichon Frise,N,M,CLEARVIEW
Staffordshire Bull Terrier X,Y,F,CLEARVIEW
Kelpie X,Y,F,KLEMZIG
Maltese X,Y,F,KLEMZIG
Staffordshire Bull Terrier X,N,F,KLEMZIG
Golden Retriever,Y,F,KLEMZIG
Terrier X,N,M,KLEMZIG
Kelpie,Y,M,NORTHFIELD
Labrador,Y,U,NORTHFIELD
Labrador X,N,M,NORTHFIELD
Shih Tzu X,N,M,NORTHFIELD
Cairn Terrier X,N,M,NORTHFIELD
Rhodesian Ridgeback,Y,M,ANGLE PARK
Rottweiler X,N,F,ENFIELD
Husky X,N,F,ENFIELD
Maltese Terrier X,Y,M,ENFIELD
Labrador,Y,M,NORTHFIELD
Malinois X,Y,M,NORTHFIELD
Shih Tzu,Y,F,NORTHFIELD
Red Heeler X,N,M,NORTHFIELD
Labrador X,Y,M,NORTHFIELD
Golden Retriever,N,M,NORTHFIELD
Siberian Husky,N,F,NORTHFIELD
Husky X,N,M,NORTHFIELD
Staffordshire Bull Terrier X,Y,M,NORTHFIELD
Terrier X,Y,M,NORTHFIELD
Staffordshire Bull Terrier X,N,M,NORTHFIELD
Labrador X,Y,M,NORTHFIELD
Staffordshire Bull Terrier X,N,M,NORTHFIELD
Rottweiler X,N,F,NORTHFIELD
Border Collie X,N,M,BROADVIEW
Beagle X,Y,M,BROADVIEW
Cocker Spaniel,Y,M,BROADVIEW
Chihuahua,Y,F,BROADVIEW
Maltese X,Y,M,BROADVIEW
Maltese X,Y,M,BROADVIEW
Fox Terrier,N,F,MANSFIELD PARK
Staffordshire Bull Terrier,Y,F,BROADVIEW
English Staffordshire Bull Terrier,Y,M,BROADVIEW
Boston Terrier,Y,M,BROADVIEW
Pekingese,Y,M,BROADVIEW
American Staffordshire Bull Terrier,Y,M,BROADVIEW
Staffordshire Bull Terrier,Y,F,BROADVIEW
Kelpie,Y,F,BROADVIEW
Schnauzer - Miniature,Y,M,SEFTON PARK
Dachshund - Miniature,Y,F,SEFTON PARK
Cocker Spaniel,Y,M,SEFTON PARK
Cavalier King Charles Spaniel,Y,F,VALLEY VIEW
Maltese X,Y,F,MANSFIELD PARK
Golden Retriever,Y,F,ENFIELD
German Shepherd X,Y,M,ENFIELD
Chihuahua X,Y,F,ENFIELD
Maltese X,Y,M,ENFIELD
Maltese X,N,F,ENFIELD
Fox Terrier X - Miniature,Y,F,ENFIELD
Chihuahua X,Y,F,ENFIELD
Labrador X,Y,F,BROADVIEW
Shih Tzu,Y,M,BROADVIEW
Maltese X,Y,M,ENFIELD
Shih Tzu X,Y,M,KLEMZIG
Red Heeler,N,M,VALLEY VIEW
Alaskan Malamute,N,F,VALLEY VIEW
Border Collie X,N,M,GILLES PLAINS
Kelpie,N,M,GILLES PLAINS
Maltese,N,F,GILLES PLAINS
Poodle - Toy,N,M,GILLES PLAINS
Kelpie X,Y,F,KILBURN
Labrador X,N,M,KILBURN
Cavalier King Charles Spaniel,Y,F,KILBURN
Maltese X,Y,M,KILBURN
Jack Russell Terrier,Y,M,KILBURN
Rhodesian Ridgeback X,Y,F,KILBURN
Australian Terrier,Y,M,GREENACRES
Maltese X,N,F,GREENACRES
Jack Russell Terrier,Y,M,GREENACRES
Tenterfield Terrier,Y,F,GREENACRES
