Breed Description,Animal Neutered,Animal Sex,Suburb
Terrier,Y,M,Prospect
Maltese Terrier,Y,F,Prospect
Labrador,Y,M,PROSPECT
Tenterfield Terrier,Y,M,PROSPECT
Australian Bulldog,N,F,PROSPECT
German Shorthaired Pointer,N,F,PROSPECT
Maltese Terrier,Y,M,PROSPECT
Retriever Golden,Y,F,PROSPECT
Cavalier King Charles Spaniel,Y,F,PROSPECT
Maltese Terrier,N,M,PROSPECT
Maltese Terrier,N,M,PROSPECT
Dachshund,Y,M,PROSPECT
Dachshund Mini,Y,F,PROSPECT
Border Collie,Y,M,PROSPECT
Terrier S`Shire Bull,Y,M,PROSPECT
Border Collie,N,M,PROSPECT
Terrier,Y,M,PROSPECT
Chihuahua,Y,F,PROSPECT
Labrador,Y,F,PROSPECT
German Shepherd,Y,F,PROSPECT
German Shepherd,Y,F,PROSPECT
Maltese Terrier,Y,F,PROSPECT
Cavalier King Charles Spaniel,Y,F,PROSPECT
Bull Terrier,Y,F,Prospect
Beagle,N,M,PROSPECT
Border Collie,N,M,PROSPECT
Chihuahua,Y,M,PROSPECT
Terrier,Y,F,Prospect
Terrier Westhighland,Y,M,Prospect
Maltese Terrier,Y,M,PROSPECT
Rhodesian Ridgeback,Y,F,PROSPECT
Border Collie,Y,F,Prospect
Maltese Terrier,Y,F,PROSPECT
Labrador,N,M,Prospect
Greyhound,N,F,PROSPECT
Terrier Jack Russell,Y,M,Prospect
Maltese Terrier,Y,F,PROSPECT
Beagle,Y,M,Prospect
Maltese Terrier,Y,M,Prospect
Retriever Golden,Y,M,PROSPECT
Labrador,Y,F,FITZROY
Shihtzu,Y,F,Fitzroy
Kelpie,Y,M,Fitzroy
Terrier S`Shire Bull,Y,F,Prospect
Poodle,Y,F,PROSPECT
Retriever Golden,Y,M,Prospect
Kelpie,Y,F,PROSPECT
Labrador,Y,M,Prospect
Tenterfield Terrier,Y,F,PROSPECT
Tenterfield Terrier,N,F,PROSPECT
Akita,Y,M,PROSPECT
Spaniel,N,M,Prospect
Weimaraner,Y,F,PROSPECT
Lhasa Apso,Y,M,PROSPECT
Terrier Jack Russell,Y,M,PROSPECT
Terrier Jack Russell,Y,M,PROSPECT
Poodle Toy,Y,M,PROSPECT
Schnauser,Y,M,PROSPECT
Maltese Terrier,N,F,PROSPECT
Retriever Golden,Y,M,Prospect
Retriever Golden,Y,F,Prospect
Heeler,N,F,Prospect
Cavalier King Charles Spaniel,N,F,Prospect
Dalmation,Y,F,Prospect
Beagle,Y,M,PROSPECT
Poodle,Y,M,Prospect
Maltese Terrier,N,M,PROSPECT
Poodle,N,M,PROSPECT
Terrier,Y,F,PROSPECT
Labrador,Y,M,PROSPECT
Spaniel Cocker,Y,F,PROSPECT
Border Collie,Y,M,PROSPECT
Lhasa Apso,Y,M,PROSPECT
Maltese Terrier,Y,F,PROSPECT
Pug,Y,F,Prospect
Pug,N,M,Prospect
Shihtzu,Y,M,Prospect
Maltese Terrier,Y,M,FITZROY
Pomeranian,Y,M,FITZROY
Spaniel Cocker,Y,M,Fitzroy
Chihuahua,Y,F,PROSPECT
Mastiff,N,F,PROSPECT
Cross Breed (Unknown),N,M,PROSPECT
Cavalier King Charles Spaniel,Y,M,Prospect
Bichon Frise,N,M,PROSPECT
Labrador,N,F,PROSPECT
Fox Terrier,N,M,PROSPECT
Papillon,Y,F,Prospect
Spaniel Cocker,Y,M,PROSPECT
