Breed_Description,,Gender,Suburb
CAVALIER KING CHARLES SPANIEL CROSS,,Female,North Adelaide
MALTESE CROSS,,male,North Adelaide
MASTIFF,,male,North Adelaide
CAVALIER KING CHARLES SPANIEL,,male,Adelaide
CHOW CHOW,,male,North Adelaide
,,,
STAFFORDSHIRE BULL TERRIER,,male,North Adelaide
COCKER SPANIEL,,Female,Adelaide
MALTESE CROSS,,Female,Adelaide
POODLE STANDARD,,male,North Adelaide
GOLDEN RETRIEVER,,Female,North Adelaide
JACK RUSSELL TERRIER,,male,Adelaide
MALTESE,,Female,North Adelaide
BOSTON TERRIER,,male,Adelaide
HUNGARIAN VIZSLA,,male,North Adelaide
MALTESE CROSS,,Female,North Adelaide
MALTESE CROSS,,male,Adelaide
MALTESE CROSS,,male,North Adelaide
MALTESE CROSS,,male,North Adelaide
MALTESE CROSS,,Female,Adelaide
MALTESE CROSS,,male,Adelaide
COCKER SPANIEL,,male,Adelaide
ITALIAN GREYHOUND,,Female,North Adelaide
MALTESE CROSS,,male,Adelaide
MALTESE CROSS,,Female,Adelaide
LABRADOR RETRIEVER,,male,Adelaide
BOXER,,male,North Adelaide
AUSTRALIAN KELPIE,,Female,Adelaide
MALTESE CROSS,,male,
POODLE STANDARD CROSS,,Female,Adelaide
COCKER SPANIEL,,Female,North Adelaide
COCKER SPANIEL,,male,North Adelaide
GERMAN SHEPHERD DOG CROSS,,male,North Adelaide
DACHSHUND (MINITURE),,male,North Adelaide
BERNESE MOUNTAIN DOG,,Female,North Adelaide
ROTTWEILER CROSS,,Female,Adelaide
BORDER COLLIE CROSS,,male,North Adelaide
MALTESE CROSS,,Female,North Adelaide
COCKER SPANIEL,,male,Adelaide
POODLE TOY,,Female,North Adelaide
LABRADOR CROSS,,Female,Adelaide
CHIHUAHUA,,Female,Adelaide
DACHSHUND,,male,Adelaide
DACHSHUND,,Female,North Adelaide
CHINESE CRESTED DOG,,Female,North Adelaide
JACK RUSSELL TERRIER,,male,Adelaide
JACK RUSSELL TERRIER,,male,Adelaide
SOFT COATED WHEATON TERRIER,,Female,North Adelaide
JACK RUSSELL TERRIER,,male,North Adelaide
LABRADOR RETRIEVER,,male,North Adelaide
GERMAN SHEPHERD DOG,,male,North Adelaide
MALTESE CROSS,,male,North Adelaide
CAVALIER KING CHARLES SPANIEL CROSS,,Female,North Adelaide
POODLE TOY,,male,Adelaide
SHIH TZU,,Female,North Adelaide
CAVALIER KING CHARLES SPANIEL CROSS,,Female,North Adelaide
MALTESE CROSS,,male,Adelaide
MALTESE CROSS,,Female,Adelaide
MALTESE CROSS,,Female,Adelaide
AUSTRALIAN CATTLE DOG,,Female,North Adelaide
PAPILLON,,Female,North Adelaide
STAFFORDSHIRE BULL TERRIER,,male,North Adelaide
STAFFORDSHIRE BULL TERRIER,,Female,North Adelaide
BREED UNKNOWN,,Female,Adelaide
MALTESE CROSS,,Female,Adelaide
SCHNAUZER MINIATURE,,Female,North Adelaide
BEAGLE,,male,North Adelaide
BORDER COLLIE,,male,North Adelaide
SCHNAUZER MINIATURE,,male,North Adelaide
MALTESE CROSS,,Female,Adelaide
MALTESE CROSS,,male,North Adelaide
DOBERMAN,,male,North Adelaide
LHASA APSO CROSS,,male,Adelaide
MALTESE CROSS,,male,North Adelaide
BEAGLE CROSS,,male,Adelaide
RHODESIAN RIDGEBACK,,male,North Adelaide
RHODESIAN RIDGEBACK,,male,North Adelaide
CAVALIER KING CHARLES SPANIEL,,Female,Adelaide
BOSTON TERRIER,,Female,Adelaide
SOFT COATED WHEATON TERRIER,,Female,North Adelaide
GREYHOUND,,Female,Adelaide
HAVANESE,,male,North Adelaide
GERMAN SHEPHERD DOG,,male,North Adelaide
JACK RUSSELL TERRIER,,Female,North Adelaide
POODLE MINATURE CROSS,,male,North Adelaide
POODLE MINATURE CROSS,,Female,North Adelaide
AUSTRALIAN CATTLE DOG,,male,Adelaide
MALTESE,,Female,North Adelaide
SCHNAUZER MINIATURE,,Female,North Adelaide
AUSTRALIAN SILKY TERRIER,,Female,Adelaide
MALTESE CROSS,,Female,Adelaide
DALMATION,,male,North Adelaide
DALMATION,,Female,North Adelaide
JACK RUSSELL TERRIER CROSS,,Female,Adelaide
MALTESE CROSS,,Female,Adelaide
PUG,,Female,Adelaide
PUG,,male,Adelaide
BOXER,,male,Adelaide
