OBJECTID,CREATED,MODIFIEDLAST,MODIFIEDBY,SERIAL_NO,RESERVE_NAME,LOCATION,SUBURB,ACTIVE_PASSIVE,DESCRIPTION,COMPKEY,COMPTYPE,Shape_STArea__,Shape_STLength__
127,2005-11-02T09:46:27.000Z,,cm,306,J S Morton Reserve,Monte Ct,NORTH HAVEN,Passive,,,,4834.663764,428.630823
128,2005-11-02T09:46:28.000Z,,cm,162,One & All Dr Reserve,"Lots 124, 125, 126, & 127 One & All Dr",NORTH HAVEN,Passive,,,,2705.717361,507.175674
129,2005-11-02T09:46:28.000Z,,cm,163,Rose Beds,Osborne Rd,NORTH HAVEN,Passive,,,,3242.961453,1584.248575
131,2005-11-02T09:46:28.000Z,,cm,165,R B Hoskin Reserve,Aurelia Dr,NORTH HAVEN,Passive,,,,3032.110348,334.989202
132,2005-11-02T09:46:28.000Z,,cm,128,Railway Tce,Between Marmora Tce & Osborne Rd,NORTH HAVEN,,Plantation,,,729.725657,409.182669
133,2005-11-02T09:46:28.000Z,,cm,157,W A L Kilpatrick Reserve,Between Brooklyn Tce and Brunswick Ave,NORTH HAVEN,Passive,,,,12716.867923,640.811955
134,2005-11-02T09:46:28.000Z,,cm,170,Bond Ave Reserve,Bond Ave,NORTHFIELD,Passive,,,,7890.714132,354.301998
135,2005-11-02T09:46:29.000Z,,cm,172,Carlisle St Reserve,Carlisle St,NORTHFIELD,Passive,,,,1537.287566,168.787663
136,2005-11-02T09:46:29.000Z,,cm,173,Charles St,Charles St,NORTHFIELD,Passive,Plantation,,,1101.791749,130.156541
137,2005-11-02T09:46:29.000Z,,cm,181,Northfield Rd,Northfield Rd,NORTHFIELD,Passive,Plantation,,,461.972576,116.190975
138,2005-11-02T09:46:29.000Z,,cm,174,Duncan Fraser Reserve,Rowe Ave,NORTHFIELD,Active,,,,36017.331922,750.591607
139,2005-11-02T09:46:29.000Z,,cm,176,F J Garrad Reserve,West Ave,NORTHFIELD,Passive,,,,8757.917592,368.703938
140,2005-11-02T09:46:29.000Z,,cm,178,James Ave Reserve,James Ave,NORTHFIELD,Passive,,,,1539.245813,183.661902
141,2005-11-02T09:46:29.000Z,,cm,177,Road Reserve,Cnr Grand Junction Rd & Hampstead Rd,NORTHFIELD,Passive,,,,334.484937,94.139532
144,2005-11-02T09:46:29.000Z,,cm,177,Road Reserve,Stirling St,NORTHFIELD,Passive,Plantation,,,406.863691,92.375719
146,2005-11-02T09:46:30.000Z,,cm,187,Thompson Ave Reserve,Thompson Ave,NORTHFIELD,Passive,,,,2904.041298,222.005366
147,2005-11-02T09:46:30.000Z,,cm,186,Swift Ct,Swift Ct,NORTHFIELD,,,,,914.414744,122.817134
148,2005-11-02T09:46:30.000Z,,cm,188,Bristol Tce Reserve,Bristol Tce,OAKDEN,Passive,,,,9237.095086,423.312761
