OBJECTID,CREATED,MODIFIEDLAST,MODIFIEDBY,SERIAL_NO,RESERVE_NAME,LOCATION,SUBURB,ACTIVE_PASSIVE,DESCRIPTION,COMPKEY,COMPTYPE,Shape_STArea__,Shape_STLength__
366,2008-10-15T15:28:57.000Z,2008-10-15T15:29:49.000Z,cm,169,Victoria Rd,Between OsborneRd & Himalaya Dr,NORTH HAVEN,Passive,Native shrub plantings,,,28648.784866,4698.550764
367,2009-12-09T00:00:00.000Z,,cm,532,Yeltu Court Reserve,Yeltu Court,NEW PORT,Passive,,,,298.768378,81.633917
368,2009-12-09T00:00:00.000Z,,cm,514,Parri Cresent Reserve,Parri Cres,NEW PORT,Passive,,,,2467.597143,457.903552
369,,,cm,510,Yao Cove Reserve,Yao Cove,NEW PORT,Passive,,,,2271.961654,278.362086
370,2009-12-09T00:00:00.000Z,,cm,533,Lartelare Reserve,Wirra Drive,NEW PORT,Passive,,,,6746.277464,579.976934
371,2009-12-09T00:00:00.000Z,,cm,128,Railway Tce,Marmora Tce to Moldavia Walk,OSBORNE,Passive,,,,2636.848198,431.542619
372,2009-12-09T00:00:00.000Z,,cm,512,Perkins Drive Reserve,Perkins Drive,PORT ADELAIDE,Passive,,,,13414.29442,629.742123
373,2009-12-09T00:00:00.000Z,,cm,511,Perkins Drive Landscape,Perkins Drive,PORT ADELAIDE,Passive,,,,5483.693355,1068.792795
374,2005-11-02T09:46:14.000Z,2008-05-16T09:08:21.000Z,cm,14,Victoria Rd Median,Hargrave St to Swigg St,BIRKENHEAD,Passive,Streetscape,,,3151.282762,1112.527216
375,2009-12-09T00:00:00.000Z,,cm,558,Northfield Hall Gardens,Pettitt St,NORTHFIELD,Passive,,,,864.540467,129.807593
376,2009-12-09T00:00:00.000Z,,cm,353,Vickers Vimy Plantation,Navigator Dr,NORTHGATE,Passive,,,,431.495857,153.835557
377,2008-05-19T13:44:55.000Z,2008-05-19T14:05:37.000Z,cm,316,Folland Ave Landscapes,Folland Ave,NORTHGATE,Passive,,,,9613.344551,4027.995231
378,2009-12-10T00:00:00.000Z,2010-01-29T00:00:00.000Z,cm,546,City View Bvd Reserve,City View Bvd,NORTHGATE,Passive,,,,4997.087341,734.43537
379,2009-12-10T00:00:00.000Z,,cm,547,The Strand Reserve,The Strand,NORTHGATE,Passive,,,,7556.917092,354.764755
380,2009-12-10T00:00:00.000Z,,cm,548,Kingston Pde Reserve,Kingston Pde,NORTHGATE,Passive,,,,653.931905,130.605927
381,2009-12-10T00:00:00.000Z,,cm,549,Francis St Reserve,Francis St,NORTHGATE,Passive,,,,4371.653892,255.363777
382,2009-12-10T00:00:00.000Z,,cm,561,Prospect Rd Streetscape,Prospect Rd,BLAIR ATHOL,Passive,,,,2605.292583,1902.122055
383,2010-01-29T00:00:00.000Z,,cm,550,Lights View Civic Place,City View Bvd,NORTHGATE,Passive,,,,3384.666629,277.334424
384,2010-01-28T00:00:00.000Z,,cm,513,Veitch Rd Landscape,Veitch Rd,OSBORNE,Passive,,,,6725.915211,1315.312937
385,2010-01-28T00:00:00.000Z,,cm,534,Mascotte St Reserve,Mascotte St,OSBORNE,Passive,,,,1369.185948,149.380423
386,2010-01-28T00:00:00.000Z,,cm,560,Le Fevre Recreation Reserve,Victoria Rd,OSBORNE,Active,,,,36919.94941,769.437064
387,2008-05-15T11:55:30.000Z,2008-05-16T09:03:44.000Z,cm,503,Westbrook Reserve,Leopold Ave,NORTHGATE,Passive,,,,2473.448612,224.669087
388,2010-07-12T00:00:00.000Z,,cm,515,Tarni Court Reserve,Tarni Ct,NEW PORT,Passive,,,,156.24443,169.508837
389,2010-07-12T00:00:00.000Z,,,516,Pilla Ave Reserve,Pilla Ave,NEW PORT,Passive,,,,60.843768,81.509302
390,2010-07-12T00:00:00.000Z,,cm,517,Karka Cove Reserve,Karka Cove,NEW PORT,Passive,,,,330.674023,273.595875
391,2010-07-12T00:00:00.000Z,,cm,526,Taperoo Reserve,Victoria Rd,TAPEROO,Active,,,,43036.854385,904.740027
392,2010-07-12T00:00:00.000Z,,cm,527,Dickenson Close Ponding Basin Reserve,Dickenson Cl,BIRKENHEAD,Passive,,,,10658.791034,824.426688
393,2010-07-12T00:00:00.000Z,,cm,528,Port River Expressway Reserve,Victoria Rd,BIRKENHEAD,Passive,,,,14240.164998,1433.608013
394,2010-11-24T00:00:00.000Z,,cm,529,Matthews Rd Streetscape,Matthews Rd,GEPPS CROSS,Passive,,,,7173.385099,3261.545813
395,2010-11-24T00:00:00.000Z,,cm,530,Gedville Rd / Military Rd Traffic Calming Device,Gedville Rd / Military Rd Intersection,TAPEROO,Passive,,,,379.133294,234.83734
396,2010-11-30T00:00:00.000Z,,cm,540,Ross St Drainage Reserve,Crn Ross St & Corconda St,CLEARVIEW,Passive,Drainage Reserve,138109,18,1039.223479,338.388053
397,2011-10-11T00:00:00.000Z,,cm,551,Holdfast Lane Reserve,East Pkwy,NORTHGATE,Passive,,139471,18,1853.639453,288.533817
398,2011-06-29T00:00:00.000Z,,cm,552,Gandy Lane Reserve,East Pkwy,NORTHGATE,Passive,,138794,18,2506.599555,347.915103
399,2012-02-14T00:00:00.000Z,,cm,562,North Parkway Reserve,North Pkwy,NORTHGATE,,,139960,18,1610.082431,305.77197
404,2012-06-15T00:00:00.000Z,,bt,563,Exeter Tce Streetscape,,DUDLEY PARK,Passive,,140896,18,2485.591142,1522.407127
405,2006-03-28T11:35:16.000Z,2007-02-14T15:05:54.000Z,sdavis,290,Cast Metal Precinct Reserve,,WINGFIELD,Passive,,75820,18,7310.195121,981.135417
406,2010-10-27T00:00:00.000Z,,bt,564,Central Park Reserve,,MANSFIELD PARK,Passive,,137936,18,27257.017283,2023.866084
407,2012-02-14T00:00:00.000Z,,bt,565,Murchison St WSUD Res,,MANSFIELD PARK,Passive,,139963,18,1563.231087,380.089485
408,2012-06-13T00:00:00.000Z,,bt,566,Torrens Rd Tree Screen,,ROSEWATER,,,140870,18,3813.250671,912.718438
409,2012-06-13T00:00:00.000Z,,bt,567,Campbell Ave Res,,ROSEWATER,,,140871,18,574.28996,161.724258
410,2012-06-13T00:00:00.000Z,,bt,568,Webb St Res,,PORT ADELAIDE,Passive,,140872,18,1354.761794,144.617683
411,2012-06-13T00:00:00.000Z,,bt,569,Old Port Rd Tree Screen,,PORT ADELAIDE,Passive,,140873,18,5599.565441,646.537528
412,2012-06-13T00:00:00.000Z,,bt,570,Lipson St Streetscape,,PORT ADELAIDE,Passive,,75889,18,443.231521,266.534961
413,2012-06-13T00:00:00.000Z,,bt,571,Divett St Streetscape,,PORT ADELAIDE,Passive,,140874,18,700.833361,202.296239
414,2006-03-29T10:03:11.000Z,2008-05-20T09:13:00.000Z,cmathews,210,Nile St Carpark,Civic Centre,PORT ADELAIDE,,,75778,18,1645.540334,842.503191
415,2006-04-04T12:09:29.000Z,2007-02-14T15:05:54.000Z,sdavis,347,Nelson St Reserve,,PORT ADELAIDE,Passive,,75877,18,1609.19478,253.936169
416,2006-03-29T10:30:46.000Z,2007-02-14T15:05:54.000Z,sdavis,214,Wharfe No. 1,,PORT ADELAIDE,Passive,,75782,18,6538.329009,1407.715464
417,2005-11-02T09:46:25.000Z,2007-02-14T15:05:54.000Z,sdavis,125,Mersey Rd Plantation,,LARGS NORTH,Passive,Plantation,75626,18,25389.492132,3875.132082
418,2009-07-13T11:51:05.000Z,2009-07-13T11:57:29.000Z,bthatcher,572,Hamilton Pump Reserve,Hamilton Ave,OSBORNE,Passive,,131562,18,93.159566,42.994885
419,2012-07-11T00:00:00.000Z,,bt,573,Falie Reserve,Archie Badenoch Cct,OSBORNE,Passive,,140991,18,43372.404106,963.370558
420,2012-08-16T00:00:00.000Z,,bt,574,Mutton Cove Buffer,,OSBORNE,Passive,,141397,18,20597.871218,1008.405441
421,2012-06-15T00:00:00.000Z,,bt,575,Nerida Dr Streetscape,,NORTH HAVEN,Passive,,140895,18,1718.869926,571.808922
422,2012-06-13T00:00:00.000Z,,bt,576,Bower Rd Res,,SEMAPHORE SOUTH,Passive,,140869,18,206.98538,72.990985
423,2005-11-02T09:46:34.000Z,2007-02-14T15:05:54.000Z,sdavis,241,Phillips Reserve,Robin Rd Swan Tce,SEMAPHORE,Passive,,75717,18,8078.391544,453.472344
424,2006-03-29T11:43:59.000Z,2011-03-30T00:00:00.000Z,bt,243,Semaphore Streetscape,,SEMAPHORE,Passive,,75719,18,2793.895416,1274.414754
425,2008-11-10T08:29:04.000Z,2008-12-12T13:52:27.000Z,bthatcher,577,Wirra Drive Reserve,Wirra Dr,NEW PORT,Passive,,130153,18,6333.827236,2428.679958
426,2008-11-10T08:48:09.000Z,2009-02-25T08:39:51.000Z,bthatcher,531,Promenade Newport Reserve,Wirra Dr,NEW PORT,Passive,,130155,18,12913.146092,1756.626682
427,2012-06-15T00:00:00.000Z,,bt,580,Canine Association Res,,KILBURN,Passive,,140897,18,507.469187,232.974932
428,2012-06-13T00:00:00.000Z,,bt,581,Ryder St Res,,MANNINGHAM,Passive,,140878,18,553.39911,212.274347
429,2005-11-02T09:46:21.000Z,2007-02-14T15:05:54.000Z,sdavis,86,Whysall Rd Reserve and StScape,Whysall Rd,GREENACRES,Passive,,75591,18,1754.794053,482.902236
430,2012-06-13T00:00:00.000Z,,bt,582,Rellum Rd Depot,,GREENACRES,Passive,,140877,18,4052.018193,281.784156
431,2013-08-14T00:00:00.000Z,,bt,,Kardiyarta Park,Victoria Rd,OUTER HARBOR,Passive,,143037,18,21990.199692,831.128058
432,2013-06-14T00:00:00.000Z,,bt,,Meyer Reserve,Yerlo Dr,LARGS NORTH,Passive,,142749,18,14139.117012,1060.429901
433,2012-06-13T00:00:00.000Z,,bt,,Garden Island Res,,GARDEN ISLAND RES,Passive,,140875,18,8225.872905,571.599236
434,2013-02-18T00:00:00.000Z,,bt,,Proclamation Reserve,,NORTHGATE,Passive,,142098,18,397.201136,141.87591
435,2013-02-18T00:00:00.000Z,,bt,,Roberts St Reserve,,NORTHGATE,Passive,,142100,18,686.435969,104.588834
436,2013-02-26T00:00:00.000Z,,bt,,Eyre Lane Reserve,,NORTHGATE,Passive,,142113,18,279.007927,154.733817
444,2008-05-15T13:44:05.000Z,2008-05-16T09:03:40.000Z,cm,106,Linear Park,Windsor Gr to Riverswide Gr,WINDSOR GARDENS,Passive,,,,244243.717006,9367.881473
