DOG_BREED,,,DOG_SUBURB
Poodle Miniature Cross,yes,Male,BEAUMONT
Pomeranian Cross,yes,Male,GLENUNGA
Yorkshire Terrier,yes,Male,GLENSIDE
Cavalier King Charles Spaniel Cross,no,Male,GLEN OSMOND
Shih-Tzu Cross,yes,Male,ST GEORGES
Labrador Retriever,no,Female,BEULAH PARK
Pomeranian Cross,no,Female,GLEN OSMOND
Maltese Cross,yes,Male,GLEN OSMOND
Greyhound,yes,Female,KENSINGTON GARDENS
Fox Terrier Wire,yes,Female,KENSINGTON PARK
Border Collie,yes,Female,ST GEORGES
Tibetan Spaniel,yes,Male,ST GEORGES
German Shepherd Dog,no,Female,BURNSIDE
Labrador Retriever,yes,Female,TUSMORE
English Springer Spaniel,yes,Female,ERINDALE
Maltese Cross,yes,Female,STONYFELL
Chihuahua,yes,Female,HAZELWOOD PARK
Maltese Cross,yes,Female,MOUNT OSMOND
Lakeland Terrier,yes,Female,KENSINGTON GARDENS
Chihuahua,yes,Female,HAZELWOOD PARK
Cocker Spaniel Cross,yes,Female,ERINDALE
Border Collie Cross,yes,Female,DULWICH
West Highland White Terrier Cross,yes,Female,FREWVILLE
Labrador Retriever,yes,Female,KENSINGTON PARK
Cocker Spaniel,yes,Female,KENSINGTON PARK
Maltese,yes,Female,ROSSLYN PARK
Australian Terrier,yes,Female,BURNSIDE
Australian Kelpie Cross,yes,Female,KENSINGTON GARDENS
West Highland White Terrier Cross,yes,Female,BEULAH PARK
Cavalier King Charles Spaniel,yes,Female,FREWVILLE
Shih-Tzu Cross,yes,Female,ERINDALE
Pointer,yes,Female,ROSE PARK
Hungarian Vizsla,yes,Female,ST GEORGES
Schnauzer,yes,Female,TOORAK GARDENS
Golden Retriever,yes,Female,LEABROOK
Labrador Retriever Cross,yes,Female,KENSINGTON GARDENS
Pomeranian,yes,Female,KENSINGTON GARDENS
Labrador Retriever Cross,yes,Female,ST GEORGES
West Highland White Terrier Cross,yes,Female,ROSE PARK
Rottweiler,yes,Female,BEULAH PARK
Maltese Cross,yes,Female,MAGILL
Golden Retriever,yes,Female,TUSMORE
Schnauzer,yes,Female,BURNSIDE
Golden Retriever,yes,Female,WATTLE PARK
Labrador Retriever,yes,Female,FREWVILLE
Maltese Cross,yes,Female,TOORAK GARDENS
Cavalier King Charles Spaniel,yes,Female,LEABROOK
Border Collie Cross,yes,Female,KENSINGTON PARK
West Highland White Terrier Cross,no,Female,GLEN OSMOND
Golden Retriever,yes,Female,ROSSLYN PARK
Schnauzer,yes,Female,ROSSLYN PARK
Schnauzer,yes,Female,KENSINGTON GARDENS
Border Collie,yes,Female,GLENUNGA
Chihuahua,yes,Female,TOORAK GARDENS
Labrador Retriever Cross,yes,Female,ERINDALE
Labrador Retriever,yes,Female,TOORAK GARDENS
Maltese Cross,no,Female,BEAUMONT
American Staffordshire Terrier Cross,yes,Female,FREWVILLE
Australian Terrier Cross,yes,Female,KENSINGTON PARK
Maltese,no,Female,GLENSIDE
Poodle Miniature Cross,yes,Female,LEABROOK
Siberian Husky,yes,Female,FREWVILLE
Maltese Cross,yes,Female,GLENUNGA
Schnauzer,yes,Female,GLEN OSMOND
Maltese Cross,yes,Female,TUSMORE
Schnauzer,no,Female,KENSINGTON GARDENS
Cocker Spaniel Cross,yes,Female,TUSMORE
Australian Cattle Dog Cross,yes,Female,DULWICH
Border Collie Cross,yes,Female,ST GEORGES
Greyhound,yes,Female,LEABROOK
German Shepherd Dog,yes,Female,LEABROOK
Schnauzer,yes,Female,WATTLE PARK
Cavalier King Charles Spaniel Cross,yes,Female,TOORAK GARDENS
Labrador Retriever Cross,yes,Female,TOORAK GARDENS
Maltese Cross,no,Female,LINDEN PARK
Maltese Cross,yes,Female,GLENSIDE
Cavalier King Charles Spaniel Cross,yes,Female,KENSINGTON GARDENS
Mixed Breed,no,Female,DULWICH
German Short-haired Pointer,yes,Female,KENSINGTON GARDENS
Maltese Cross,yes,Female,GLENSIDE
Schnauzer Miniature,no,Female,GLENSIDE
Labrador Retriever,yes,Female,BEAUMONT
Basset Fauve de Bretagne,yes,Female,BEAUMONT
Labrador Retriever,yes,Female,KENSINGTON PARK
Cavalier King Charles Spaniel Cross,yes,Female,ROSSLYN PARK
Italian Greyhound,yes,Female,MAGILL
Labrador Retriever,yes,Female,ERINDALE
Shetland Sheepdog Cross,yes,Female,GLENUNGA
American Staffordshire Terrier,yes,Female,STONYFELL
Schnauzer Miniature,yes,Male,ROSE PARK
Jack Russell Terrier Cross,yes,Male,KENSINGTON PARK
Labrador Retriever,yes,Male,GLENUNGA
Australian Cattle Dog,yes,Male,GLENUNGA
Flat-coated Retriever,yes,Male,WATTLE PARK
Border Collie,no,Male,ROSE PARK
Australian Kelpie,no,Male,KENSINGTON GARDENS
Border Collie,yes,Male,ROSE PARK
West Highland White Terrier Cross,no,Male,BEULAH PARK
Beagle,yes,Male,MAGILL
Australian Terrier,no,Male,KENSINGTON PARK
Shih-Tzu Cross,yes,Male,TOORAK GARDENS
Cavalier King Charles Spaniel Cross,yes,Male,BURNSIDE
Cavalier King Charles Spaniel Cross,yes,Male,WATTLE PARK
Australian Silky Terrier,yes,Male,BEAUMONT
Labrador Retriever,yes,Male,LINDEN PARK
Maltese Cross,yes,Male,LEABROOK
Maltese Cross,yes,Male,LINDEN PARK
Maltese Cross,yes,Male,BEAUMONT
Dalmatian,yes,Male,BEULAH PARK
Border Collie Cross,yes,Male,LEABROOK
Maltese Cross,yes,Male,LINDEN PARK
Maltese Cross,yes,Male,STONYFELL
Maltese Cross,yes,Male,TOORAK GARDENS
Australian Terrier Cross,yes,Male,BURNSIDE
Tenterfield Terrier cross,yes,Male,KENSINGTON GARDENS
Maltese Cross,yes,Male,FREWVILLE
Pomeranian Cross,yes,Male,GLENUNGA
Maltese,yes,Male,BEAUMONT
West Highland White Terrier Cross,yes,Male,KENSINGTON GARDENS
Tenterfield Terrier,yes,Male,GLENSIDE
Cocker Spaniel Cross,yes,Male,KENSINGTON GARDENS
Fox Terrier Smooth Cross,no,Male,TOORAK GARDENS
Maltese Cross,yes,Male,GLENSIDE
Bichon Frise,yes,Male,MAGILL
English Springer Spaniel Cross,yes,Male,HAZELWOOD PARK
Labrador Retriever,yes,Male,HAZELWOOD PARK
West Highland White Terrier,yes,Male,BEAUMONT
German Shepherd Dog,no,Male,KENSINGTON PARK
Maltese Cross,yes,Male,BEULAH PARK
Cavalier King Charles Spaniel Cross,yes,Male,HAZELWOOD PARK
Dachshund,yes,Male,TUSMORE
Golden Retriever Cross,no,Male,STONYFELL
German Shepherd Dog,no,Male,ST GEORGES
Cocker Spaniel,yes,Male,TOORAK GARDENS
Cocker Spaniel,yes,Male,GLENUNGA
Welsh Springer Spaniel,yes,Male,BURNSIDE
Labrador Retriever Cross,yes,Male,BEULAH PARK
Bichon Frise Cross,yes,Male,WATTLE PARK
Labrador Retriever,yes,Male,BEAUMONT
Lhasa Apso,yes,Male,BURNSIDE
Golden Retriever,no,Male,WATTLE PARK
King Charles Spaniel Cross,no,Male,GLEN OSMOND
Lagotto Romaenolo,yes,Male,WATTLE PARK
Labrador Retriever,no,Male,KENSINGTON GARDENS
Labrador Retriever,yes,Male,BEAUMONT
Cavalier King Charles Spaniel,yes,Male,BEAUMONT
West Highland White Terrier,yes,Male,DULWICH
Labrador Retriever,yes,Male,BURNSIDE
Chihuahua Cross,yes,Female,KENSINGTON GARDENS
Maltese Cross,no,Female,FREWVILLE
Scottish Terrier,no,Female,BEAUMONT
Poodle Miniature,yes,Male,HAZELWOOD PARK
Labrador Retriever Cross,no,Male,TOORAK GARDENS
Labrador Retriever,yes,Male,STONYFELL
Jack Russell Terrier Cross,yes,Male,TUSMORE
Brittany,yes,Male,KENSINGTON GARDENS
Beagle,yes,Female,GLENUNGA
Maltese Cross,yes,Male,TUSMORE
West Highland White Terrier,yes,Female,HAZELWOOD PARK
Greyhound,yes,Male,KENSINGTON PARK
Bichon Frise,yes,Female,BEAUMONT
Tenterfield Terrier,yes,Female,TOORAK GARDENS
Australian Kelpie,yes,Female,ST GEORGES
Swedish Vallhund,no,Female,ERINDALE
West Highland White Terrier,yes,Female,BEULAH PARK
Maltese Cross,yes,Female,DULWICH
Labrador Retriever,yes,Female,TUSMORE
Cocker Spaniel,yes,Female,BEULAH PARK
Cocker Spaniel,yes,Female,MAGILL
Jack Russell Terrier,yes,Female,BURNSIDE
Caine Terrier,yes,Female,HAZELWOOD PARK
Border Collie Cross,yes,Female,SKYE
Jack Russell Terrier,yes,Female,STONYFELL
Maltese Cross,yes,Female,GLENUNGA
Jack Russell Terrier,yes,Female,LINDEN PARK
Australian Kelpie Cross,yes,Female,MAGILL
Fox Terrier Wire,yes,Female,TUSMORE
Schnauzer Miniature,no,Female,HAZELWOOD PARK
Maltese Cross,no,Female,BEULAH PARK
Golden Retriever,yes,Male,HAZELWOOD PARK
Irish Terrier,yes,Male,TUSMORE
Bichon Frise,yes,Male,TUSMORE
Schnauzer,yes,Male,ST GEORGES
Maltese Cross,yes,Male,GLEN OSMOND
Jack Russell Terrier,yes,Male,ERINDALE
English Springer Spaniel,yes,Female,DULWICH
Labrador Retriever Cross,no,Female,ERINDALE
Border Collie,yes,Female,HAZELWOOD PARK
Staffordshire Bull Terrier,yes,Female,WATTLE PARK
Australian Kelpie Cross,yes,Female,BURNSIDE
Caine Terrier,yes,Female,GLEN OSMOND
Border Collie,yes,Male,STONYFELL
Golden Retriever,yes,Female,KENSINGTON GARDENS
Maltese Cross,yes,Female,GLEN OSMOND
Beagle,yes,Male,LEABROOK
Tenterfield Terrier cross,no,Male,KENSINGTON GARDENS
Cavalier King Charles Spaniel,yes,Male,GLENUNGA
Labrador Retriever Cross,yes,Male,STONYFELL
Jack Russell Terrier,yes,Male,GLEN OSMOND
Maltese Cross,yes,Male,KENSINGTON GARDENS
Labrador Retriever Cross,yes,Male,LEABROOK
Cavalier King Charles Spaniel,yes,Male,LINDEN PARK
Labrador Retriever,yes,Male,ROSE PARK
Maltese,yes,Male,LEABROOK
Border Collie,yes,Male,BEULAH PARK
Pomeranian,yes,Male,GLEN OSMOND
Pug,yes,Male,STONYFELL
Fox Terrier Wire Cross,yes,Male,GLENUNGA
Cocker Spaniel Cross,yes,Male,BEAUMONT
Beagle,yes,Male,WATTLE PARK
Border Collie,yes,Unknown,MOUNT OSMOND
Staffordshire Bull Terrier,yes,Male,WATTLE PARK
Border Collie Cross,no,Unknown,WATTLE PARK
Maltese Cross,yes,Male,TUSMORE
Jack Russell Terrier Cross,yes,Male,KENSINGTON PARK
Anatolian Shephard Dog,yes,Male,HAZELWOOD PARK
Australian Kelpie Cross,yes,Female,ERINDALE
Greyhound,yes,Male,LINDEN PARK
Poodle Toy,yes,Female,LEABROOK
Maltese Cross,yes,Female,GLEN OSMOND
Chihuahua Cross,yes,Female,GLEN OSMOND
Border Collie,yes,Female,TOORAK GARDENS
Australian Kelpie,yes,Female,DULWICH
Poodle Miniature Cross,yes,Female,TOORAK GARDENS
Golden Retriever Cross,no,Female,GLEN OSMOND
Border Terrier,yes,Female,ERINDALE
Maltese Cross,yes,Female,BURNSIDE
Australian Cattle Dog Cross,no,Male,GLEN OSMOND
Chihuahua Cross,yes,Male,LINDEN PARK
Maltese Cross,no,Male,MAGILL
Maremma Sheepdog,yes,Male,KENSINGTON GARDENS
Golden Retriever,no,Male,WATTLE PARK
Maltese Cross,yes,Male,TOORAK GARDENS
Cavalier King Charles Spaniel,yes,Male,KENSINGTON PARK
Cavalier King Charles Spaniel,yes,Male,KENSINGTON PARK
Whippet,yes,Female,BEULAH PARK
Golden Retriever,yes,Female,STONYFELL
Bichon Frise,yes,Male,FREWVILLE
Golden Retriever,yes,Male,KENSINGTON GARDENS
