Breed,De-sexed,Gender,Suburb
Golden Retriever                        ,Y,F,PANORAMA                           
Fox Terrier                             ,Y,F,BLACKWOOD                          
West Highland Terrier                   ,N,F,HAWTHORNDENE                       
Border Collie                           ,Y,F,TORRENS PARK                       
Whippet                                 ,Y,M,BELAIR                             
Labrador                                ,Y,M,HAWTHORNDENE                       
Labradoodle                             ,Y,M,LOWER MITCHAM                      
Shetland Sheepdog                       ,Y,M,COLONEL LIGHT GARDENS              
Bichon Frise                            ,Y,M,KINGSWOOD                          
Labrador                                ,Y,M,MITCHAM                            
West Highland Terrier                   ,N,M,EDEN HILLS                         
West Highland Terrier                   ,Y,M,BEDFORD PARK                       
Papillon                                ,Y,M,PANORAMA                           
Maltese                                 ,Y,M,PASADENA                           
German Shepherd                         ,N,M,BLACKWOOD                          
Maltese                                 ,Y,F,BELLEVUE HEIGHTS                   
Maltese                                 ,Y,F,BELAIR                             
Australian Kelpie                       ,Y,F,HAWTHORNDENE                       
Golden Retriever                        ,Y,F,CRAIGBURN FARM                     
White Swiss Shepherd                    ,N,F,PANORAMA                           
German Shepherd                         ,N,F,DAW PARK                           
Beagle                                  ,Y,F,COLONEL LIGHT GARDENS              
Cocker Spaniel                          ,Y,F,HAWTHORN                           
Boxer                                   ,Y,F,BLACKWOOD                          
Boxer                                   ,Y,F,COLONEL LIGHT GARDENS              
Beagle                                  ,Y,F,MELROSE PARK                       
Papillon                                ,Y,F,BELAIR                             
Chihuahua                               ,Y,M,LOWER MITCHAM                      
Chinese Crested                         ,Y,F,DAW PARK                           
Jack Russell Terrier                    ,Y,F,TORRENS PARK                       
Labrador                                ,Y,F,WESTBOURNE PARK                    
Greyhound                               ,Y,F,HAWTHORNDENE                       
Australian Cattle Dog                   ,Y,F,BLACKWOOD                          
Heeler                                  ,Y,M,BLACKWOOD                          
Golden Retriever                        ,Y,M,GLENALTA                           
Maltese                                 ,Y,M,BLACKWOOD                          
Border Collie                           ,Y,M,COLONEL LIGHT GARDENS              
Maltese                                 ,Y,M,CRAIGBURN FARM                     
Miniature Schnauzer                     ,Y,M,BELAIR                             
Maltese                                 ,Y,M,EDEN HILLS                         
West Highland Terrier                   ,Y,M,MITCHAM                            
Scottish Terrier                        ,Y,M,HAWTHORNDENE                       
Labrador                                ,Y,M,BELAIR                             
Shih Tzu                                ,Y,M,BELLEVUE HEIGHTS                   
Boxer                                   ,N,M,MELROSE PARK                       
West Highland Terrier                   ,Y,M,WESTBOURNE PARK                    
Cocker Spaniel                          ,N,M,CRAIGBURN FARM                     
Labrador                                ,Y,M,KINGSWOOD                          
West Highland Terrier                   ,Y,M,BELAIR                             
Miniature Schnauzer                     ,Y,F,PASADENA                           
Labradoodle                             ,N,F,CRAIGBURN FARM                     
Greyhound                               ,Y,F,PASADENA                           
Labrador Retriever                      ,N,F,BELAIR                             
German Shepherd                         ,Y,F,MELROSE PARK                       
Pug                                     ,Y,F,PANORAMA                           
Maltese                                 ,Y,F,GLENALTA                           
Airedale Terrier                        ,Y,F,EDEN HILLS                         
Heeler                                  ,Y,F,COLONEL LIGHT GARDENS              
Cavalier King Charles Spaniel           ,Y,F,CUMBERLAND PARK                    
Labrador                                ,Y,F,CLAPHAM                            
Maltese                                 ,Y,F,PASADENA                           
Australian Kelpie                       ,N,F,HAWTHORNDENE                       
Labrador                                ,Y,F,BELLEVUE HEIGHTS                   
Wheaton Terrier                         ,Y,F,WESTBOURNE PARK                    
Pug                                     ,Y,F,BELAIR                             
Australian Kelpie                       ,Y,M,GLENALTA                           
Labrador                                ,Y,M,MITCHAM                            
German Shepherd                         ,Y,F,HAWTHORNDENE                       
Labrador                                ,Y,M,BELAIR                             
Labrador                                ,Y,F,BELAIR                             
Staffordshire Terrier                   ,Y,F,PANORAMA                           
Maltese                                 ,Y,F,COLONEL LIGHT GARDENS              
Maltese                                 ,Y,F,LOWER MITCHAM                      
Beagle                                  ,Y,F,COLONEL LIGHT GARDENS              
German Shepherd                         ,Y,F,HAWTHORNDENE                       
Labrador                                ,Y,F,BELAIR                             
Staffordshire Terrier                   ,Y,M,CLAPHAM                            
Australian Kelpie                       ,Y,M,CUMBERLAND PARK                    
Labrador                                ,Y,M,WESTBOURNE PARK                    
Shar Pei Chinese                        ,Y,M,HAWTHORNDENE                       
Border Collie                           ,Y,M,HAWTHORNDENE                       
Beagle                                  ,Y,M,HAWTHORNDENE                       
Australian Kelpie                       ,Y,M,CLARENCE GARDENS                   
Labrador                                ,Y,M,DAW PARK                           
Golden Retriever                        ,Y,M,TORRENS PARK                       
West Highland Terrier                   ,Y,M,SPRINGFIELD                        
Labrador                                ,N,M,UPPER STURT                        
Dalmatian                               ,Y,M,HAWTHORN                           
Boxer                                   ,Y,M,NETHERBY                           
Bichon Frise                            ,Y,M,CRAIGBURN FARM                     
Curly Coat Retriever                    ,Y,M,CLARENCE GARDENS                   
Border Collie                           ,Y,M,TORRENS PARK                       
West Highland Terrier                   ,Y,M,CRAIGBURN FARM                     
Labrador                                ,Y,M,HAWTHORNDENE                       
Schnauzer Standard                      ,N,M,CRAFERS WEST                       
Border Collie                           ,Y,M,HAWTHORNDENE                       
