Breed Description,,,Suburb
Shih Tzu,,Male,SELLICKS BEACH 
Fox Terrier (Smooth),Desexed,Female,HACKHAM WEST   
Tibetan Spaniel,Desexed,Male,MORPHETT VALE  
Cairn Terrier,Desexed,Male,ABERFOYLE PARK 
Fox Terrier,,Male,HAPPY VALLEY   
Border Collie X,,Female,OLD REYNELLA   
Fox Terrier,,Female,O'HALLORAN HILL
West Highland White Terrier X,Desexed,Male,O'HALLORAN HILL
Poodle (Miniature),Desexed,Female,O'HALLORAN HILL
Maltese X,Desexed,Female,REYNELLA       
Maltese X,Desexed,,REYNELLA       
Chihuahua,,Male,MORPHETT VALE  
Shih Tzu X,,Female,ALDINGA BEACH  
Fox Terrier,Desexed,Female,MORPHETT VALE  
Labrador Retriever X,Desexed,Female,WOODCROFT      
Jack Russell Terrier,Desexed,Male,SEAFORD RISE   
Australian Kelpie,Desexed,Male,KANGARILLA     
Tenterfield Terrier,Desexed,Male,COROMANDEL VALL
Australian Kelpie,Desexed,Male,MCLAREN VALE   
Jack Russell TerrierX,Desexed,,WILLUNGA SOUTH 
Maltese X,Desexed,Female,MORPHETT VALE  
Australian Kelpie X,Desexed,Male,REYNELLA EAST  
Terrier X,Desexed,Female,CHERRY GARDENS 
Australian Silky Terrier,Desexed,Female,MORPHETT VALE  
Chihuahua,,Female,WOODCROFT      
Border Collie,Desexed,Male,MORPHETT VALE  
Maltese,Desexed,Female,HAPPY VALLEY   
Fox Terrier (Smooth) X,Desexed,Female,HAPPY VALLEY   
Maltese X,Desexed,Female,MORPHETT VALE  
Jack Russell Terrier,Desexed,Male,WILLUNGA       
Pomeranian,Desexed,Female,ABERFOYLE PARK 
Beagle,,Male,HAPPY VALLEY   
Chihuahua X,Desexed,Male,MORPHETT VALE  
Jack Russell Terrier,Desexed,Male,MORPHETT VALE  
Terrier,,Female,WILLUNGA       
Jack Russell TerrierX,,Male,FLAGSTAFF HILL 
Maltese,Desexed,Male,HAPPY VALLEY   
Shetland Sheep Dog,,Female,WOODCROFT      
Staffordshire Bull Terrier,Desexed,Male,MORPHETT VALE  
Maltese X,Desexed,Female,ABERFOYLE PARK 
Australian Kelpie X,Desexed,Female,FLAGSTAFF HILL 
Bichon Frise,Desexed,Male,SEAFORD RISE   
Maltese X,,Female,WOODCROFT      
Whippet,Desexed,Female,O'HALLORAN HILL
Jack Russell Terrier,Desexed,Female,FLAGSTAFF HILL 
