Breed Description,,,Suburb
Labrador Retriever X,,Female,WILLUNGA       
Staffordshire Bull Terrier X,,Female,MASLIN BEACH   
Australian Kelpie X,,Male,ABERFOYLE PARK 
Pug X,,Female,ABERFOYLE PARK 
Border Collie,,Female,SELLICKS BEACH 
Maltese X,,Female,FLAGSTAFF HILL 
Border Collie X,,Female,COROMANDEL EAST
Mastiff X,,Female,CHERRY GARDENS 
Staffordshire Bull Terrier,,Male,FLAGSTAFF HILL 
Jack Russell TerrierX,,Male,HAPPY VALLEY   
Australian Kelpie X,,Female,CHERRY GARDENS 
Australian Cattle Dog X,,Female,MORPHETT VALE  
Labrador Retriever X,,Male,MORPHETT VALE  
Rhodesian Ridgeback,,Male,MOANA          
Australian Kelpie,,Unknown,WILLUNGA       
Siberian Husky,,Male,PORT WILLUNGA  
Mixed,,Male,HACKHAM        
Pomeranian,,Female,WOODCROFT      
Maltese,,Female,SELLICKS BEACH 
Staffordshire Bull Terrier X,,Female,PORT NOARLUNGA 
Dalmatian,,Male,HAPPY VALLEY   
Shih Tzu X,,Male,MORPHETT VALE  
Alaskan Malamute X,,Female,CHRISTIES BEACH
Border Collie X,,Male,PORT NOARLUNGA 
Staffordshire Bull Terrier X,,Male,ALDINGA BEACH  
Australian Shepherd X,,Female,MASLIN BEACH   
West Highland White Terrier,,Female,HAPPY VALLEY   
Greyhound,,Male,O'HALLORAN HILL
Pug X,,Male,ABERFOYLE PARK 
Chihuahua X,,Female,ABERFOYLE PARK 
Labrador Retriever,,Male,HAPPY VALLEY   
Beagle,,Female,HAPPY VALLEY   
Golden Retriever,,Female,COROMANDEL EAST
Pug X,,Female,OLD NOARLUNGA  
Rottweiler,,Female,MORPHETT VALE  
Australian Kelpie,,Female,THE RANGE      
Fox Terrier,,Male,THE RANGE      
Labrador Retriever X,,Female,CHRISTIES BEACH
Australian Kelpie,,Male,PORT NOARLUNGA 
Labrador Retriever,,Male,CHRISTIES BEACH
Pomeranian X,,Male,ALDINGA BEACH  
Whippet X,,Female,FLAGSTAFF HILL 
Pomeranian,,Male,HAPPY VALLEY   
Labrador Retriever,,Male,MORPHETT VALE  
Poodle (Standard) X,,Female,O'HALLORAN HILL
Cavalier King Charles Spaniel,,Female,O'HALLORAN HILL
Border Collie,,Female,WOODCROFT      
Golden Retriever,,Female,ALDINGA BEACH  
Golden Retriever,,Male,ALDINGA BEACH  
Australian Cattle Dog X,,Male,MORPHETT VALE  
Australian Shepherd,,Male,NOARLUNGA DOWNS
Maltese X,,Female,HUNTFIELD HEIGH
Australian Kelpie,,Female,KANGARILLA     
Golden Retriever X,,Male,MORPHETT VALE  
Border Collie X,,Female,ONKAPARINGA HIL
Siberian Husky X,,Female,WOODCROFT      
Beagle X,,Male,WOODCROFT      
Poodle (Standard) X,,Male,WOODCROFT      
Staffordshire Bull Terrier X,,Female,MCLAREN VALE   
Australian Kelpie X,,Female,MCLAREN VALE   
Labrador Retriever,,Male,KANGARILLA     
Maltese X,,Female,CHANDLERS HILL 
Bichon Frise X,,Male,FLAGSTAFF HILL 
English Springer Spaniel,,Female,O'HALLORAN HILL
Australian Kelpie X,,Male,WOODCROFT      
Keeshond X,,Female,OLD REYNELLA   
Border Collie,,Male,OLD REYNELLA   
Shih Tzu X,,Female,MORPHETT VALE  
Staffordshire Bull Terrier X,,Male,ONKAPARINGA HIL
Schipperke X,,Male,HACKHAM        
Poodle (Standard) X,,Male,WILLUNGA       
Border Collie X,,Male,PORT WILLUNGA  
Border Collie X,,Male,FLAGSTAFF HILL 
Border Collie X,,Male,FLAGSTAFF HILL 
Siberian Husky,,Male,DARLINGTON     
Labrador Retriever X,,Male,FLAGSTAFF HILL 
Labrador Retriever X,,Male,HAPPY VALLEY   
Australian Cattle Dog,,Male,REYNELLA EAST  
Poodle (Standard) X,,Male,OLD REYNELLA   
Australian Kelpie X,,Female,MORPHETT VALE  
Poodle (Standard) X,,Female,HACKHAM        
Japanese Spitz,,Female,MCLAREN VALE   
German Shepherd Dog X,,Male,HACKHAM WEST   
Maltese X,,Male,REYNELLA EAST  
Rhodesian Ridgeback,,Male,MOANA          
Border Collie,,Male,HACKHAM        
Pomeranian X,,Female,MORPHETT VALE  
Rhodesian Ridgeback X,,Male,O'SULLIVAN BEAC
Rhodesian Ridgeback X,,Male,O'SULLIVAN BEAC
Poodle (Toy),,Male,OLD NOARLUNGA  
Pug,,Male,ALDINGA BEACH  
Tenterfield Terrier X,,Male,CHRISTIES BEACH
Staffordshire Bull Terrier X,,Male,O'HALLORAN HILL
Maltese X,,Male,CHRISTIES BEACH
Maltese X,,Male,ALDINGA BEACH  
Maltese X,,Male,SEAFORD RISE   
Poodle (Toy),,Male,ALDINGA BEACH  
Australian Kelpie,,Male,FLAGSTAFF HILL 
Briard,,Male,ABERFOYLE PARK 
Staffordshire Bull Terrier,,Female,ABERFOYLE PARK 
Australian Cattle Dog X,,Female,COROMANDEL EAST
Staffordshire Bull Terrier X,,Male,O'HALLORAN HILL
Pug,,Female,SEAFORD RISE   
Fox Terrier X,,Male,REYNELLA       
Australian Kelpie X,,Female,ALDINGA BEACH  
Maremma Sheep Dog X,,Male,ALDINGA BEACH  
Great Dane,,Female,ALDINGA BEACH  
Border Collie,,Male,KANGARILLA     
Siberian Husky,,Male,ALDINGA BEACH  
Rottweiler,,Male,SEAFORD        
Labrador Retriever,,Male,MORPHETT VALE  
German Shepherd Dog,,Male,MORPHETT VALE  
Australian Cattle Dog,,Male,MORPHETT VALE  
Mixed,,Female,PORT NOARLUNGA 
Staffordshire Bull Terrier,,Female,CHRISTIE DOWNS 
Australian Cattle Dog,,Female,MORPHETT VALE  
Staffordshire Bull Terrier,,Male,NOARLUNGA DOWNS
Staffordshire Bull Terrier,,Female,NOARLUNGA DOWNS
Fox Terrier,,Male,MORPHETT VALE  
German Shepherd Dog,,Female,PORT NOARLUNGA 
Pug X,,Male,ALDINGA BEACH  
Jack Russell Terrier,,Unknown,PORT NOARLUNGA 
Cavalier King Charles Spaniel X,,Female,CHRISTIE DOWNS 
Labrador Retriever,,Female,CHRISTIE DOWNS 
Chihuahua X,,Male,SEAFORD RISE   
Miniature Pinscher,,Male,SEAFORD RISE   
Cavalier King Charles Spaniel X,,Female,SEAFORD MEADOWS
Whippet,,Male,MORPHETT VALE  
Yorkshire Terrier,,Male,MORPHETT VALE  
Shar Pei,,Male,CHRISTIES BEACH
Staffordshire Bull Terrier X,,Male,CHRISTIES BEACH
Staffordshire Bull Terrier,,Male,CHRISTIES BEACH
Rhodesian Ridgeback,,Female,OLD REYNELLA   
Border Collie,,Female,OLD REYNELLA   
Border Collie,,Male,OLD REYNELLA   
Maltese X,,Female,MORPHETT VALE  
Staffordshire Bull Terrier,,Male,MORPHETT VALE  
Labrador Retriever X,,Male,BLEWITT SPRINGS
Australian Silky Terrier,,Female,HACKHAM        
Jack Russell TerrierX,,Male,MOANA          
Australian Kelpie,,Female,MORPHETT VALE  
Boxer,,Male,MORPHETT VALE  
Beagle,,Male,MCLAREN VALE   
Siberian Husky,,Male,NOARLUNGA CENTR
Cavalier King Charles Spaniel,,Female,WOODCROFT      
Cavalier King Charles Spaniel,,Female,WOODCROFT      
Italian Greyhound,,Male,HAPPY VALLEY   
German Shorthaired Pointer,,Male,ONKAPARINGA HIL
Maltese X,,Female,HAPPY VALLEY   
Border Collie,,Female,HACKHAM        
Labrador Retriever,,Female,REYNELLA       
Staffordshire Bull Terrier,,Female,ALDINGA BEACH  
Australian Kelpie,,Male,ALDINGA BEACH  
German Shepherd Dog,,Female,ALDINGA BEACH  
Staffordshire Bull Terrier,,Male,PORT NOARLUNGA 
Dachshund (Miniature),,Female,SEAFORD        
Poodle (Toy),,Female,O'HALLORAN HILL
Australian Cattle Dog X,,Female,MOANA          
German Shepherd Dog,,Male,SEAFORD MEADOWS
Maltese X,,Male,WOODCROFT      
Chihuahua,,Female,MORPHETT VALE  
Beagle X,,Male,NOARLUNGA DOWNS
Mastiff X,,Male,HUNTFIELD HEIGH
Papillon X,,Male,HUNTFIELD HEIGH
Cocker Spaniel,,Male,MORPHETT VALE  
Shih Tzu X,,Female,CLARENDON      
Maltese X,,Male,MORPHETT VALE  
Labrador Retriever,,Male,FLAGSTAFF HILL 
Border Collie X,,Female,ABERFOYLE PARK 
German Shepherd Dog,,Male,SEAFORD MEADOWS
Schipperke,,Male,WILLUNGA       
Australian Kelpie X,,Male,MORPHETT VALE  
Labrador Retriever,,Female,O'HALLORAN HILL
Australian Kelpie X,,Female,MORPHETT VALE  
Chinese Crested Dog,,Female,HAPPY VALLEY   
Staffordshire Bull Terrier X,,Female,MORPHETT VALE  
Staffordshire Bull Terrier,,Female,MORPHETT VALE  
Cocker Spaniel X,,Male,MORPHETT VALE  
Pug X,,Female,HAPPY VALLEY   
Cavalier King Charles Spaniel X,,Male,HAPPY VALLEY   
Maltese X,,Male,ABERFOYLE PARK 
Australian Kelpie X,,Male,HAPPY VALLEY   
Staffordshire Bull Terrier X,,Female,ABERFOYLE PARK 
Pug,,Male,ABERFOYLE PARK 
Australian Cattle Dog,,Female,ABERFOYLE PARK 
Golden Retriever,,Female,SEAFORD RISE   
Alaskan Malamute,,Male,WILLUNGA       
Staffordshire Bull Terrier,,Female,WILLUNGA       
Jack Russell TerrierX,,Male,SELLICKS BEACH 
Jack Russell Terrier,,Female,MCLAREN VALE   
Australian Kelpie X,,Female,KANGARILLA     
Australian Cattle Dog,,Male,ALDINGA BEACH  
Weimaraner,,Female,SEAFORD RISE   
Staffordshire Bull Terrier,,Female,MCLAREN FLAT   
Border Collie X,,Female,PORT WILLUNGA  
Staffordshire Bull Terrier X,,Male,MORPHETT VALE  
Golden Retriever,,Male,OLD NOARLUNGA  
Jack Russell Terrier,,Male,HUNTFIELD HEIGH
Pomeranian X,,Male,HUNTFIELD HEIGH
Alaskan Malamute,,Female,SEAFORD        
Alaskan Malamute,,Male,SEAFORD        
German Shepherd Dog,,Male,HACKHAM WEST   
Tenterfield Terrier,,Unknown,PORT NOARLUNGA 
Tenterfield Terrier,,Female,PORT NOARLUNGA 
Golden Retriever X,,Unknown,SEAFORD RISE   
Shih Tzu X,,Female,CHRISTIE DOWNS 
Bullmastiff,,Male,OLD NOARLUNGA  
Maltese X,,Male,CHRISTIES BEACH
Staffordshire Bull Terrier,,Female,MORPHETT VALE  
Staffordshire Bull Terrier,,Male,MORPHETT VALE  
Great Dane X,,Male,PORT NOARLUNGA 
Maltese X,,Male,PORT NOARLUNGA 
Pomeranian,,Male,ONKAPARINGA HIL
Siberian Husky X,,Female,MOANA          
English Springer Spaniel,,Female,ALDINGA BEACH  
Australian Terrier X,,Male,WILLUNGA       
Australian Cattle Dog X,,Female,WILLUNGA       
Weimaraner,,Female,ABERFOYLE PARK 
Labrador Retriever X,,Female,O'HALLORAN HILL
German Shepherd Dog,,Female,HACKHAM        
Rottweiler,,Male,PORT NOARLUNGA 
Siberian Husky,,Male,MORPHETT VALE  
West Highland White Terrier,,Female,REYNELLA       
Maltese X,,Male,NOARLUNGA DOWNS
Shih Tzu,,Male,ALDINGA BEACH  
Australian Kelpie,,Female,ABERFOYLE PARK 
Labrador Retriever X,,Male,ABERFOYLE PARK 
Australian Kelpie X,,Unknown,WOODCROFT      
Maltese X,,Female,MORPHETT VALE  
Dalmatian X,,Female,O'HALLORAN HILL
Curly Coated Retriever,,Female,WILLUNGA       
Maltese X,,Female,PORT NOARLUNGA 
Maltese X,,Female,MORPHETT VALE  
Staffordshire Bull Terrier X,,Male,O'SULLIVAN BEAC
Shar Pei,,Male,HUNTFIELD HEIGH
Staffordshire Bull Terrier X,,Male,CHRISTIES BEACH
German Shepherd Dog,,Female,OLD NOARLUNGA  
Havanese,,Male,SELLICKS BEACH 
English Springer Spaniel,,Female,COROMANDEL EAST
Staffordshire Bull Terrier X,,Female,HACKHAM        
Staffordshire Bull Terrier,,Male,PORT WILLUNGA  
Mastiff,,Female,PORT NOARLUNGA 
Rottweiler,,Male,ALDINGA BEACH  
West Highland White Terrier X,,Female,ONKAPARINGA HIL
Labrador Retriever,,Female,CHRISTIES BEACH
Pug X,,Female,SEAFORD RISE   
Poodle (Toy),,Female,WOODCROFT      
Chihuahua,,Female,MORPHETT VALE  
Chihuahua,,Female,MORPHETT VALE  
St Bernard,,Male,REYNELLA       
Australian Kelpie,,Male,ABERFOYLE PARK 
Dachshund X,,Male,O'HALLORAN HILL
Bull Terrier,,Male,FLAGSTAFF HILL 
Maltese X,,Female,MORPHETT VALE  
German Shepherd Dog,,Male,ALDINGA BEACH  
Border Terrier,,Male,SELLICKS BEACH 
German Shepherd Dog,,Male,ALDINGA BEACH  
Whippet,,Male,ALDINGA BEACH  
Cavalier King Charles Spaniel,,Male,CHRISTIE DOWNS 
Labrador Retriever,,Male,ONKAPARINGA HIL
Mastiff X,,Female,WOODCROFT      
Mastiff X,,Female,ABERFOYLE PARK 
Mastiff X,,Female,ABERFOYLE PARK 
Staffordshire Bull Terrier,,Male,MORPHETT VALE  
Staffordshire Bull Terrier X,,Male,MORPHETT VALE  
Mastiff X,,Male,OLD NOARLUNGA  
Australian Kelpie,,Female,HUNTFIELD HEIGH
Chinese Crested Dog,,Male,MORPHETT VALE  
Border Collie X,,Female,MORPHETT VALE  
Pug X,,Female,MOANA          
Staffordshire Bull Terrier X,,Female,MORPHETT VALE  
German Shepherd Dog,,Male,PORT NOARLUNGA 
Siberian Husky X,,Female,CHRISTIE DOWNS 
Bull Terrier,,Female,MORPHETT VALE  
Australian Kelpie,,Male,WOODCROFT      
American Staffordshire Terrier,,Female,ALDINGA BEACH  
Pug,,Male,SEAFORD RISE   
German Pinscher X,,Female,SEAFORD RISE   
Chihuahua,,Male,CHRISTIE DOWNS 
Maltese X,,Female,CHRISTIE DOWNS 
Beagle,,Female,ALDINGA BEACH  
Greyhound,,Male,ALDINGA BEACH  
Siberian Husky,,Male,WOODCROFT      
Staffordshire Bull Terrier,,Male,WOODCROFT      
Greyhound,,Male,REYNELLA       
Maltese X,,Male,MORPHETT VALE  
Greyhound,,Male,HAPPY VALLEY   
Golden Retriever,,Male,WOODCROFT      
Jack Russell TerrierX,,Male,MORPHETT VALE  
German Shepherd Dog,,Female,WOODCROFT      
Labrador Retriever X,,Female,ALDINGA BEACH  
Shih Tzu X,,Male,OLD REYNELLA   
German Shepherd Dog X,,Male,ABERFOYLE PARK 
Border Collie,,Female,WOODCROFT      
Staffordshire Bull Terrier,,Male,SEAFORD        
German Shepherd Dog,,Male,NOARLUNGA DOWNS
Staffordshire Bull Terrier X,,Female,HUNTFIELD HEIGH
German Pinscher X,,Male,HACKHAM        
Staffordshire Bull Terrier,,Male,ALDINGA BEACH  
Great Dane,,Female,MORPHETT VALE  
Australian Shepherd,,Female,MORPHETT VALE  
Labrador Retriever X,,Male,HACKHAM        
Poodle (Standard) X,,Female,ABERFOYLE PARK 
Border Collie,,Female,ABERFOYLE PARK 
Shih Tzu X,,Female,FLAGSTAFF HILL 
British Bulldog,,Male,HAPPY VALLEY   
Poodle (Standard) X,,Male,HUNTFIELD HEIGH
Staffordshire Bull Terrier X,,Male,HUNTFIELD HEIGH
American Staffordshire Terrier,,Male,CHRISTIE DOWNS 
Staffordshire Bull Terrier,,Male,PORT NOARLUNGA 
Labrador Retriever X,,,SEAFORD RISE   
Border Collie,,Female,WOODCROFT      
Rhodesian Ridgeback X,,Male,CHERRY GARDENS 
Maltese,,Female,SEAFORD RISE   
Maltese,,Male,SEAFORD RISE   
Staffordshire Bull Terrier,,Female,WOODCROFT      
Mastiff X,,Female,WOODCROFT      
Rottweiler,,Male,MORPHETT VALE  
Golden Retriever,,Male,WOODCROFT      
Shih Tzu X,,Female,MORPHETT VALE  
Chihuahua X,,Female,MORPHETT VALE  
Shih Tzu X,,Male,MORPHETT VALE  
German Shepherd Dog,,Male,OLD REYNELLA   
Australian Cattle Dog X,,Female,MASLIN BEACH   
Australian Cattle Dog X,,Male,MASLIN BEACH   
Australian Cattle Dog,,Male,MASLIN BEACH   
Irish Setter,,Female,WILLUNGA       
Siberian Husky,,Male,ALDINGA BEACH  
Staffordshire Bull Terrier,,Female,ALDINGA BEACH  
Whippet,,Female,WILLUNGA SOUTH 
Border Collie,,Male,WHITES VALLEY  
Golden Retriever X,,Female,CHRISTIES BEACH
Maltese X,,Male,O'HALLORAN HILL
Labrador Retriever X,,Female,MORPHETT VALE  
Border Collie X,,Male,WILLUNGA       
Fox Terrier X,,Female,SEAFORD        
Poodle (Miniature) X,,Male,HUNTFIELD HEIGH
English Springer Spaniel X,,Female,CHRISTIES BEACH
Staffordshire Bull Terrier X,,Female,HUNTFIELD HEIGH
Chihuahua,,Female,MORPHETT VALE  
Staffordshire Bull Terrier X,,Male,ALDINGA BEACH  
French Bull Dog,,Female,HAPPY VALLEY   
Labrador Retriever X,,Female,FLAGSTAFF HILL 
Rottweiler,,Male,FLAGSTAFF HILL 
Jack Russell TerrierX,,Male,FLAGSTAFF HILL 
Cavalier King Charles Spaniel,,Female,HACKHAM        
West Highland White Terrier,,Female,PORT NOARLUNGA 
Yorkshire Terrier X,,Female,PORT NOARLUNGA 
Mastiff X,,Male,PORT NOARLUNGA 
Tenterfield Terrier,,Male,SEAFORD RISE   
Labrador Retriever X,,Male,ABERFOYLE PARK 
Staffordshire Bull Terrier X,,Male,ABERFOYLE PARK 
Australian Cattle Dog,,Male,HACKHAM        
Pug,,Male,ABERFOYLE PARK 
Staffordshire Bull Terrier X,,Male,ALDINGA BEACH  
Staffordshire Bull Terrier,,Female,HUNTFIELD HEIGH
Australian Kelpie X,,Male,ALDINGA BEACH  
English Springer Spaniel,,Female,CHANDLERS HILL 
English Springer Spaniel,,Female,SEAFORD RISE   
Border Collie,,Male,FLAGSTAFF HILL 
Shar Pei X,,Female,FLAGSTAFF HILL 
Labrador Retriever X,,Male,HAPPY VALLEY   
Dachshund (Miniature),,Female,O'HALLORAN HILL
Border Collie X,,Male,ABERFOYLE PARK 
Hungarian Vizsla,,Male,KANGARILLA     
German Shepherd Dog,,Female,ABERFOYLE PARK 
Staffordshire Bull Terrier,,Female,ONKAPARINGA HIL
Bull Terrier X,,Male,MORPHETT VALE  
Staffordshire Bull Terrier,,Male,MORPHETT VALE  
Whippet,,Female,ALDINGA BEACH  
Golden Retriever,,Female,SEAFORD        
Dachshund (Miniature),,Male,CHRISTIE DOWNS 
West Highland White Terrier X,,Female,HAPPY VALLEY   
Beagle X,,Male,HUNTFIELD HEIGH
Pug X,,Male,REYNELLA EAST  
Staffordshire Bull Terrier X,,Male,SEAFORD RISE   
German Shorthaired Pointer,,Female,HACKHAM        
Maltese X,,Male,WOODCROFT      
Australian Terrier,,Female,SEAFORD MEADOWS
German Shepherd Dog X,,Female,HUNTFIELD HEIGH
Rhodesian Ridgeback X,,Female,HUNTFIELD HEIGH
Mastiff X,,Female,REYNELLA       
Australian Kelpie X,,Female,COROMANDEL VALL
German Shorthaired Pointer,,Female,CLARENDON      
Maltese X,,Unknown,MCLAREN VALE   
Staffordshire Bull Terrier X,,Female,MCLAREN VALE   
Scottish Terrier,,Female,PORT WILLUNGA  
Chihuahua,,Male,O'HALLORAN HILL
Maltese X,,Female,ABERFOYLE PARK 
Maltese X,,Male,ABERFOYLE PARK 
Staffordshire Bull Terrier,,Male,OLD NOARLUNGA  
Maltese X,,Male,CHANDLERS HILL 
Staffordshire Bull Terrier X,,Male,NOARLUNGA DOWNS
Labrador Retriever X,,Female,ALDINGA BEACH  
Dachshund (Miniature) X,,Male,SEAFORD        
Chihuahua,,Male,MORPHETT VALE  
Labrador Retriever X,,Male,SEAFORD        
Rhodesian Ridgeback,,Female,CHRISTIES BEACH
Staffordshire Bull Terrier,,Male,SEAFORD        
Labrador Retriever X,,Male,MORPHETT VALE  
Shih Tzu X,,Female,MORPHETT VALE  
Australian Terrier,,Female,O'HALLORAN HILL
Labrador Retriever,,Female,MASLIN BEACH   
Jack Russell TerrierX,,Male,MCLAREN VALE   
Cavalier King Charles Spaniel,,Female,NOARLUNGA DOWNS
Poodle (Toy),,Male,WOODCROFT      
Maltese X,,Female,MORPHETT VALE  
Australian Shepherd,,Male,MORPHETT VALE  
Chihuahua X,,Female,OLD REYNELLA   
Labrador Retriever X,,Female,HAPPY VALLEY   
Labrador Retriever X,,Female,ABERFOYLE PARK 
Labrador Retriever X,,Male,ABERFOYLE PARK 
Pug X,,Female,CHANDLERS HILL 
Boxer,,Male,SELLICKS BEACH 
Jack Russell TerrierX,,Male,ALDINGA BEACH  
Border Collie,,Male,MORPHETT VALE  
Pomeranian,,Male,CHRISTIES BEACH
Staffordshire Bull Terrier X,,Female,HACKHAM        
Siberian Husky X,,Unknown,PORT WILLUNGA  
Rottweiler X,,Male,HAPPY VALLEY   
Pomeranian X,,Male,MORPHETT VALE  
Golden Retriever,,Female,SEAFORD RISE   
Staffordshire Bull Terrier X,,Male,SEAFORD RISE   
Pomeranian,,Male,MORPHETT VALE  
Maltese,,Female,WOODCROFT      
Collie (Smooth) X,,Female,REYNELLA       
Staffordshire Bull Terrier,,Female,MORPHETT VALE  
Staffordshire Bull Terrier,,Male,MORPHETT VALE  
Maltese X,,Female,REYNELLA EAST  
Maltese X,,Male,CHRISTIE DOWNS 
Cairn Terrier X,,Male,FLAGSTAFF HILL 
Staffordshire Bull Terrier,,Male,MORPHETT VALE  
Maltese X,,Female,SELLICKS BEACH 
Jack Russell TerrierX,,Female,SEAFORD MEADOWS
Staffordshire Bull Terrier,,Male,MORPHETT VALE  
Labrador Retriever X,,Male,WOODCROFT      
German Shepherd Dog,,Female,OLD NOARLUNGA  
Golden Retriever X,,Male,ONKAPARINGA HIL
German Shepherd Dog,,Male,MORPHETT VALE  
Fox Terrier,,Female,FLAGSTAFF HILL 
Deerhound X,,Female,ABERFOYLE PARK 
Collie (Rough) X,,Female,FLAGSTAFF HILL 
Labrador Retriever X,,Male,HAPPY VALLEY   
Whippet,,Female,MCLAREN VALE   
Labrador Retriever,,Male,ABERFOYLE PARK 
Shih Tzu,,Male,HACKHAM        
Golden Retriever,,Female,ONKAPARINGA HIL
Border Collie,,Male,CHRISTIES BEACH
Staffordshire Bull Terrier,,Male,SEAFORD        
Chihuahua X,,Female,SEAFORD        
Australian Kelpie,,Female,WOODCROFT      
Chihuahua X,,Male,HUNTFIELD HEIGH
Staffordshire Bull Terrier X,,Female,HACKHAM WEST   
Dobermann X,,Male,HACKHAM WEST   
Labrador Retriever,,Male,CHRISTIES BEACH
Greyhound,,Female,MORPHETT VALE  
Border Collie,,Male,WOODCROFT      
Beagle X,,Female,ABERFOYLE PARK 
Maltese X,,Male,FLAGSTAFF HILL 
Maltese X,,Female,HAPPY VALLEY   
Cavalier King Charles Spaniel,,Female,FLAGSTAFF HILL 
Jack Russell Terrier,,Female,WILLUNGA       
Labrador Retriever,,Male,ABERFOYLE PARK 
Pomeranian X,,Female,OLD REYNELLA   
Poodle (Miniature) X,,Male,MORPHETT VALE  
Welsh Corgi (Cardigan) X,,Male,FLAGSTAFF HILL 
Chihuahua X,,Female,ABERFOYLE PARK 
Chihuahua X,,Male,ABERFOYLE PARK 
Pug X,,Female,ABERFOYLE PARK 
Fox Terrier X,,Male,COROMANDEL VALL
Poodle (Miniature) X,,Female,COROMANDEL VALL
Maltese X,,Male,ABERFOYLE PARK 
Japanese Spitz,,Female,HAPPY VALLEY   
Poodle (Standard),,Female,ABERFOYLE PARK 
Maltese,,Female,FLAGSTAFF HILL 
Miniature Pinscher,,Male,HAPPY VALLEY   
Maltese X,,Female,REYNELLA       
Maltese X,,Female,WILLUNGA       
Poodle (Standard),,Female,MOANA          
Staffordshire Bull Terrier X,,Unknown,CHRISTIE DOWNS 
German Shepherd Dog,,Female,CHANDLERS HILL 
Chihuahua X,,Male,HAPPY VALLEY   
Poodle (Standard) X,,Male,HAPPY VALLEY   
Maltese X,,Male,ALDINGA BEACH  
Staffordshire Bull Terrier,,Female,ALDINGA BEACH  
Australian Terrier X,,Male,SELLICKS BEACH 
Maltese,,Male,CHRISTIES BEACH
Miniature Schnauzer,,Male,MCLAREN VALE   
Miniature Schnauzer,,Female,MCLAREN VALE   
Cavalier King Charles Spaniel X,,Male,WILLUNGA       
Golden Retriever,,Male,WOODCROFT      
Australian Kelpie X,,Male,CHRISTIE DOWNS 
Jack Russell Terrier,,Male,ALDINGA BEACH  
Border Collie X,,Male,MCLAREN VALE   
Unknown,,Female,MORPHETT VALE  
Shar Pei X,,Male,PORT NOARLUNGA 
Cavalier King Charles Spaniel,,Female,ALDINGA BEACH  
Australian Kelpie X,,Male,MORPHETT VALE  
Staffordshire Bull Terrier,,Male,REYNELLA EAST  
Labrador Retriever X,,Female,ABERFOYLE PARK 
Labrador Retriever X,,Male,MORPHETT VALE  
Pug X,,Female,ABERFOYLE PARK 
Australian Cattle Dog X,,Male,ABERFOYLE PARK 
Border Collie,,Male,REYNELLA EAST  
Greyhound,,Male,FLAGSTAFF HILL 
Mastiff,,Male,ONKAPARINGA HIL
Border Collie,,Male,REYNELLA       
Border Collie,,Female,REYNELLA       
Affenpinscher,,Male,SELLICKS BEACH 
Beagle,,Female,SEAFORD        
Maltese X,,Male,SEAFORD RISE   
Alaskan Malamute X,,Male,SEAFORD RISE   
Shih Tzu X,,Male,SEAFORD RISE   
Australian Silky Terrier,,Male,ALDINGA BEACH  
Australian Silky Terrier,,Male,ALDINGA BEACH  
Staffordshire Bull Terrier,,Female,SEAFORD RISE   
Golden Retriever,,Male,MORPHETT VALE  
Tenterfield Terrier,,Female,CLARENDON      
Fox Terrier (Smooth),,Male,CLARENDON      
Maltese X,,Female,O'HALLORAN HILL
Boston Terrier X,,Female,SELLICKS BEACH 
Bichon Frise,,Female,WOODCROFT      
Golden Retriever X,,Female,HAPPY VALLEY   
Border Collie X,,Male,HAPPY VALLEY   
Labrador Retriever,,Male,CHANDLERS HILL 
Border Collie,,Female,WILLUNGA       
Border Collie,,Female,WILLUNGA       
Golden Retriever,,Female,KANGARILLA     
Staffordshire Bull Terrier,,Female,CLARENDON      
West Highland White Terrier,,Male,HAPPY VALLEY   
German Shorthaired Pointer,,Male,THE RANGE      
Fox Terrier (Smooth) X,,Male,COROMANDEL VALL
Siberian Husky,,Female,SEAFORD MEADOWS
Poodle (Standard) X,,Male,COROMANDEL VALL
Australian Cattle Dog X,,,ALDINGA BEACH  
Staffordshire Bull Terrier X,,Female,CHRISTIE DOWNS 
Poodle (Standard) X,,Male,MORPHETT VALE  
Fox Terrier (Smooth) X,,Female,HACKHAM WEST   
Maltese X,,Female,ABERFOYLE PARK 
Jack Russell TerrierX,,Male,HACKHAM        
Labrador Retriever,,Male,ABERFOYLE PARK 
Maltese X,,Male,NOARLUNGA DOWNS
Australian Kelpie X,,Female,HUNTFIELD HEIGH
Jack Russell Terrier,,Female,FLAGSTAFF HILL 
Maltese X,,Female,PORT NOARLUNGA 
Border Terrier,,Female,O'HALLORAN HILL
Jack Russell TerrierX,,Male,HAPPY VALLEY   
Chihuahua X,,Female,HAPPY VALLEY   
Australian Cattle Dog,,Male,MORPHETT VALE  
Australian Cattle Dog,,Male,MORPHETT VALE  
Staffordshire Bull Terrier,,Female,WOODCROFT      
Border Collie,,Male,SELLICKS BEACH 
Australian Kelpie X,,Male,O'SULLIVAN BEAC
Staffordshire Bull Terrier X,,Male,HAPPY VALLEY   
French Bull Dog,,Female,SELLICKS BEACH 
German Shepherd Dog,,Male,MORPHETT VALE  
Chihuahua X,,Male,HACKHAM WEST   
Maltese X,,Female,HACKHAM WEST   
Jack Russell Terrier,,Male,O'HALLORAN HILL
Bullmastiff X,,Male,FLAGSTAFF HILL 
Australian Cattle Dog,,Male,REYNELLA EAST  
Australian Kelpie X,,Male,HUNTFIELD HEIGH
