Breed_Description,desexed,sex,Suburb
Boxer,yes,,ELIZABETH SOUTH
Akita X,yes,,ELIZABETH EAST
Australian Cattle Dog,yes,,ELIZABETH VALE
Poodle,no,,MUNNO PARA
Beagle,no,,ANDREWS FARM
Golden Retriever,yes,,BLAKEVIEW
Greyhound,yes,,ELIZABETH EAST
Greyhound,yes,,ELIZABETH EAST
Jack Russell Terrier,no,,ELIZABETH PARK
Staffordshire Bull Terrier X,yes,,CRAIGMORE
American Staffordshire Terrier Cross,no,,CRAIGMORE
Australian Kelpie,yes,,VIRGINIA
Staffordshire Bull Terrier,no,,ELIZABETH EAST
Siberian Husky,yes,,CRAIGMORE
Border Collie X,no,,ELIZABETH DOWNS
Belgian Shepherd Dog,yes,,ELIZABETH DOWNS
Staffordshire Bull Terrier X,yes,,ELIZABETH SOUTH
American Staffordshire Terrier,no,,ELIZABETH SOUTH
American Staffordshire Terrier,yes,,ELIZABETH SOUTH
Maltese X,yes,,ELIZABETH PARK
Australian Kelpie X,no,,BLAKEVIEW
American Staffordshire Terrier,no,,ELIZABETH DOWNS
Staffordshire Bull Terrier,yes,,BLAKEVIEW
Maltese,yes,,CRAIGMORE
Shar Pei X,no,,SMITHFIELD PLAINS
King Charles Spaniel X,no,,MUNNO PARA WEST
Pug X,no,,MUNNO PARA WEST
Chihuahua X,yes,,MUNNO PARA
Shih Tzu X,yes,,MUNNO PARA
Fox Terrier (Smooth)  X,no,,CRAIGMORE
Australian Kelpie,no,,ELIZABETH PARK
Staffordshire Bull Terrier X,yes,,MUNNO PARA
Siberian Husky,no,,MUNNO PARA
Italian Greyhound,no,,MUNNO PARA
German Shepherd Dog,yes,,HUMBUG SCRUB
Staffordshire Bull Terrier X,no,,SMITHFIELD
Staffordshire Bull Terrier X,no,,MUNNO PARA WEST
Cocker Spaniel,yes,,BLAKEVIEW
Maltese,yes,,DAVOREN PARK
Beagle,yes,,ANGLE VALE
Chihuahua X,yes,,ELIZABETH PARK
Labrador Retriever,yes,,ANGLE VALE
Maltese X,no,,ANGLE VALE
Border Collie,yes,,BLAKEVIEW
Cavalier King Charles Spaniel X,yes,,BLAKEVIEW
American Staffordshire Terrier,yes,,MUNNO PARA WEST
Maltese X,yes,,MUNNO PARA WEST
Alaskan Malamute X,no,,ELIZABETH SOUTH
Cavalier King Charles Spaniel,no,,DAVOREN PARK
Australian Silky Terrier X,yes,,ANDREWS FARM
Siberian Husky,no,,ANDREWS FARM
Maltese X,yes,,MUNNO PARA WEST
Maltese X,yes,,ONE TREE HILL
Labrador Retriever X,no,,ELIZABETH EAST
Beagle X,yes,,CRAIGMORE
Staffordshire Bull Terrier X,no,,CRAIGMORE
Staffordshire Bull Terrier,no,,CRAIGMORE
Maremma Sheepdog,yes,,CRAIGMORE
Beagle,no,,SMITHFIELD PLAINS
Cocker Spaniel (American),no,,MUNNO PARA WEST
Australian Cattle Dog X,yes,,MUNNO PARA WEST
Labrador Retriever X,yes,,MUNNO PARA WEST
Maltese,yes,,CRAIGMORE
Cavalier King Charles Spaniel X,no,,MUNNO PARA
German Shepherd Dog,no,,BLAKEVIEW
Fox Terrier (Smooth)  X,yes,,CRAIGMORE
German Shepherd Dog,no,,ELIZABETH NORTH
German Shepherd Dog,no,,MUNNO PARA WEST
Maltese X,no,,SMITHFIELD PLAINS
Grand Basset Griffon Vendeen,no,,ELIZABETH GROVE
Labrador Retriever,yes,,ANGLE VALE
Rottweiler,yes,,ANGLE VALE
Border Collie,yes,,ELIZABETH DOWNS
Collie (Smooth) X,yes,,ELIZABETH DOWNS
German Shorthaired Pointer,no,,ANDREWS FARM
Jack Russell Terrier,yes,,MUNNO PARA
Fox Terrier (Smooth),no,,MUNNO PARA
Poodle (Toy),no,,ELIZABETH PARK
American Staffordshire Terrier,no,,SMITHFIELD PLAINS
Tenterfield Terrier X,yes,,MUNNO PARA
German Shepherd Dog,yes,,ANDREWS FARM
Maltese X,yes,,BLAKEVIEW
Old English Sheepdog,no,,DAVOREN PARK
American Staffordshire Terrier Cross,no,,DAVOREN PARK
Border Collie,yes,,MUNNO PARA
Schnauzer (Miniature),no,,MUNNO PARA
Pomeranian X,yes,,SMITHFIELD PLAINS
German Shepherd Dog X,yes,,VIRGINIA
Bulldog,no,,ANDREWS FARM
Samoyed,no,,CRAIGMORE
Tibetan Spaniel,yes,,MUNNO PARA
German Shepherd Dog X,no,,SMITHFIELD
Australian Cattle Dog X,no,,ELIZABETH DOWNS
Siberian Husky,yes,,ELIZABETH DOWNS
Rottweiler,no,,ELIZABETH EAST
Shih Tzu,no,,MUNNO PARA WEST
Staffordshire Bull Terrier X,no,,ELIZABETH DOWNS
American Staffordshire Terrier Cross,no,,ANDREWS FARM
Maltese X,yes,,BLAKEVIEW
Maltese X,yes,,ELIZABETH DOWNS
Chihuahua,yes,,ELIZABETH DOWNS
Australian Kelpie X,no,,ELIZABETH DOWNS
West Highland White Terrier,yes,,HILLBANK
Maltese X,yes,,MUNNO PARA WEST
Rottweiler,no,,MUNNO PARA WEST
Rottweiler,no,,MUNNO PARA WEST
Tenterfield Terrier,yes,,SMITHFIELD
Tenterfield Terrier,yes,,SMITHFIELD
Rottweiler,no,,SMITHFIELD
Australian Kelpie X,no,,ONE TREE HILL
Border Collie X,no,,ANDREWS FARM
Maltese X,no,,ELIZABETH DOWNS
Coolie,yes,,EVANSTON PARK
Cavalier King Charles Spaniel,yes,,MUNNO PARA WEST
Cavalier King Charles Spaniel,yes,,MUNNO PARA WEST
Beagle,yes,,ANDREWS FARM
Australian Silky Terrier X,no,,MUNNO PARA WEST
Japanese Spitz,no,,MUNNO PARA WEST
Staffordshire Bull Terrier,no,,MUNNO PARA WEST
Pomeranian X,no,,ELIZABETH EAST
Staffordshire Bull Terrier,no,,ANDREWS FARM
Beagle,yes,,ELIZABETH EAST
Staffordshire Bull Terrier,no,,ANDREWS FARM
Siberian Husky,yes,,ELIZABETH
Bichon Frise,no,,ELIZABETH EAST
Siberian Husky,yes,,ELIZABETH
Australian Cattle Dog X,no,,CRAIGMORE
Australian Kelpie,yes,,CRAIGMORE
Shih Tzu X,yes,,CRAIGMORE
Jack Russell Terrier,yes,,CRAIGMORE
Shih Tzu,no,,SMITHFIELD PLAINS
Staffordshire Bull Terrier,yes,,ANDREWS FARM
Maltese X,yes,,CRAIGMORE
Australian Terrier,yes,,DAVOREN PARK
Alaskan Malamute,no,,MUNNO PARA
Pomeranian X,no,,SMITHFIELD
Fox Terrier (Smooth)  X,yes,,ELIZABETH VALE
Poodle (Toy),no,,MUNNO PARA WEST
German Shepherd Dog X,yes,,ELIZABETH VALE
Alaskan Malamute X,no,,ELIZABETH VALE
Golden Retriever X,no,,ANDREWS FARM
Border Collie X,yes,,ONE TREE HILL
Maltese,no,,ANDREWS FARM
Border Collie X,yes,,ANDREWS FARM
Cocker Spaniel,no,,ELIZABETH PARK
Rottweiler,no,,CRAIGMORE
Rhodesian Ridgeback X,yes,,CRAIGMORE
German Shepherd Dog,no,,PENFIELD
Anatolian Shepherd Dog X,no,,MUNNO PARA WEST
Maltese X,no,,SMITHFIELD PLAINS
Chesapeake Bay Retriever,yes,,BLAKEVIEW
Border Collie,yes,,ANDREWS FARM
Australian Kelpie,no,,ELIZABETH PARK
Border Collie X,no,,ANGLE VALE
Maltese X,yes,,CRAIGMORE
Maltese X,yes,,CRAIGMORE
Staffordshire Bull Terrier X,no,,CRAIGMORE
Poodle,no,,BLAKEVIEW
Poodle X,yes,,SMITHFIELD
Australian Kelpie X,yes,,BLAKEVIEW
Maltese X,no,,ELIZABETH DOWNS
Chihuahua,no,,ELIZABETH SOUTH
Boxer,no,,ANGLE VALE
Australian Kelpie,no,,ONE TREE HILL
Australian Kelpie X,no,,ONE TREE HILL
Chihuahua X,yes,,ELIZABETH DOWNS
Rottweiler,yes,,ELIZABETH DOWNS
Maltese X,yes,,CRAIGMORE
Rottweiler,yes,,BLAKEVIEW
Chihuahua X,yes,,MUNNO PARA WEST
Rottweiler,yes,,MUNNO PARA WEST
Staffordshire Bull Terrier X,yes,,ELIZABETH SOUTH
Staffordshire Bull Terrier X,no,,HUMBUG SCRUB
Border Collie X,no,,CRAIGMORE
American Staffordshire Terrier,yes,,ELIZABETH NORTH
Fox Terrier (Smooth),yes,,MUNNO PARA
Fox Terrier (Smooth),no,,CRAIGMORE
Staffordshire Bull Terrier X,no,,DAVOREN PARK
Bull Terrier,yes,,ELIZABETH DOWNS
Labrador Retriever,no,,SMITHFIELD
German Shorthaired Pointer,yes,,CRAIGMORE
Papillon,yes,,HILLBANK
Staffordshire Bull Terrier X,yes,,ANDREWS FARM
Pomeranian,yes,,BLAKEVIEW
Collie (Smooth),no,,CRAIGMORE
Australian Kelpie,no,,YATTALUNGA
Pug X,yes,,CRAIGMORE
Pug X,yes,,BLAKEVIEW
Maltese X,yes,,ANDREWS FARM
Labrador Retriever,no,,BLAKEVIEW
German Shepherd Dog X,yes,,BLAKEVIEW
Collie (Smooth),no,,BIBARINGA
Chihuahua X,no,,MUNNO PARA
X Breed,yes,,ELIZABETH NORTH
Akita,no,,MUNNO PARA WEST
Dalmation X,no,,MUNNO PARA WEST
Staffordshire Bull Terrier,yes,,ANDREWS FARM
Golden Retriever,yes,,CRAIGMORE
Boxer,no,,BLAKEVIEW
Swedish Vallhund,no,,ANDREWS FARM
Shar Pei X,yes,,MUNNO PARA WEST
Beagle X,no,,DAVOREN PARK
Belgian Shepherd Dog,yes,,MUNNO PARA
Fox Terrier (Smooth),yes,,MUNNO PARA
Australian Kelpie X,yes,,ELIZABETH GROVE
Jack Russell Terrier X,no,,ELIZABETH SOUTH
German Shepherd Dog,no,,DAVOREN PARK
Australian Kelpie X,yes,,HUMBUG SCRUB
Staffordshire Bull Terrier X,no,,MUNNO PARA
Labrador Retriever X,yes,,CRAIGMORE
Maltese X,yes,,SMITHFIELD
Whippet X,yes,,ELIZABETH GROVE
Jack Russell Terrier X,yes,,MUNNO PARA WEST
Maltese X,yes,,BLAKEVIEW
Maltese,no,,ANDREWS FARM
Labrador Retriever X,no,,ELIZABETH NORTH
Staffordshire Bull Terrier X,no,,ELIZABETH PARK
Unknown,no,,CRAIGMORE
Fox Terrier (Smooth),no,,ELIZABETH
Chihuahua X,yes,,BLAKEVIEW
Maltese X,no,,CRAIGMORE
Maltese X,yes,,CRAIGMORE
Maltese X,no,,CRAIGMORE
Golden Retriever,no,,CRAIGMORE
Maltese X,yes,,CRAIGMORE
Pomeranian X,yes,,BLAKEVIEW
Australian Silky Terrier,yes,,ANDREWS FARM
Mastiff,no,,SMITHFIELD PLAINS
Rottweiler,yes,,ONE TREE HILL
Maltese X,no,,ANGLE VALE
Poodle,no,,BLAKEVIEW
Maltese X,yes,,CRAIGMORE
Maltese X,yes,,CRAIGMORE
Staffordshire Bull Terrier X,no,,DAVOREN PARK
Chihuahua,yes,,CRAIGMORE
Australian Cattle Dog,yes,,CRAIGMORE
Australian Kelpie X,no,,DAVOREN PARK
Staffordshire Bull Terrier,no,,HILLBANK
Cavalier King Charles Spaniel,yes,,MUNNO PARA WEST
Maltese X,no,,DAVOREN PARK
Maltese,yes,,CRAIGMORE
Maltese X,yes,,BLAKEVIEW
Australian Kelpie X,yes,,BLAKEVIEW
Staffordshire Bull Terrier X,yes,,MUNNO PARA
German Shepherd Dog X,no,,MUNNO PARA WEST
Staffordshire Bull Terrier X,no,,DAVOREN PARK
Staffordshire Bull Terrier X,yes,,ANDREWS FARM
Australian Cattle Dog X,yes,,ELIZABETH SOUTH
Border Collie,yes,,CRAIGMORE
Australian Terrier X,yes,,ELIZABETH EAST
Labrador Retriever,yes,,BLAKEVIEW
Bullmastiff X,no,,ELIZABETH DOWNS
Labrador Retriever X,no,,SMITHFIELD PLAINS
Shiba Inu,yes,,MUNNO PARA WEST
Border Collie X,yes,,ELIZABETH NORTH
Jack Russell Terrier X,no,,MUNNO PARA WEST
Maltese X,no,,ANDREWS FARM
Labrador Retriever X,yes,,DAVOREN PARK
Shih Tzu X,yes,,HILLBANK
Maltese X,yes,,YATTALUNGA
Maltese X,yes,,YATTALUNGA
Labrador Retriever,yes,,CRAIGMORE
Maltese X,yes,,ANDREWS FARM
Bulldog,no,,DAVOREN PARK
Bulldog,no,,DAVOREN PARK
Cavalier King Charles Spaniel,yes,,ELIZABETH DOWNS
Poodle X,yes,,ELIZABETH DOWNS
Labrador Retriever X,no,,ELIZABETH VALE
Cavalier King Charles Spaniel X,yes,,ANDREWS FARM
Australian Kelpie,no,,ANDREWS FARM
Golden Retriever,no,,CRAIGMORE
American Staffordshire Terrier,no,,ANDREWS FARM
Jack Russell Terrier,yes,,ELIZABETH DOWNS
Maltese X,yes,,ELIZABETH
Siberian Husky,yes,,ANGLE VALE
Maltese X,yes,,ELIZABETH EAST
Maltese X,yes,,BLAKEVIEW
Weimaraner,no,,ANDREWS FARM
Finnish Lapphund,yes,,ANGLE VALE
Poodle,no,,ANGLE VALE
Siberian Husky,no,,BLAKEVIEW
Papillon X,no,,ELIZABETH EAST
Maremma Sheepdog,no,,ULEYBURY
Dalmation,yes,,HILLBANK
Maremma Sheepdog,no,,ULEYBURY
Australian Kelpie X,no,,ELIZABETH DOWNS
Staffordshire Bull Terrier X,no,,DAVOREN PARK
Deerhound,yes,,ULEYBURY
Maltese X,yes,,ELIZABETH EAST
Staffordshire Bull Terrier X,yes,,HILLBANK
Staffordshire Bull Terrier X,yes,,HILLBANK
Australian Kelpie X,yes,,ELIZABETH PARK
American Staffordshire Terrier Cross,no,,MUNNO PARA WEST
German Shepherd Dog,no,,BLAKEVIEW
German Shepherd Dog,no,,BLAKEVIEW
Tibetan Spaniel,yes,,MUNNO PARA WEST
German Shepherd Dog,yes,,CRAIGMORE
Dachshund (Miniature),yes,,ANDREWS FARM
Rottweiler,no,,BLAKEVIEW
Staffordshire Bull Terrier X,no,,BLAKEVIEW
X Breed,no,,VIRGINIA
X Breed,no,,VIRGINIA
Australian Kelpie X,no,,ANGLE VALE
Jack Russell Terrier X,yes,,WATERLOO CORNER
Schnauzer (Miniature),yes,,BLAKEVIEW
Akita X,no,,DAVOREN PARK
Staffordshire Bull Terrier X,yes,,ANDREWS FARM
Australian Kelpie X,yes,,ANDREWS FARM
American Staffordshire Terrier,no,,ELIZABETH NORTH
Schnauzer (Miniature),no,,HILLBANK
Yorkshire Terrier,yes,,ANDREWS FARM
Staffordshire Bull Terrier,no,,ELIZABETH EAST
Staffordshire Bull Terrier X,yes,,ANGLE VALE
Staffordshire Bull Terrier,yes,,ANGLE VALE
Border Collie X,no,,ELIZABETH PARK
Australian Kelpie,yes,,EVANSTON PARK
Staffordshire Bull Terrier X,no,,DAVOREN PARK
German Shepherd Dog,no,,DAVOREN PARK
Australian Cattle Dog X,no,,ANDREWS FARM
Australian Cattle Dog X,no,,ANDREWS FARM
American Staffordshire Terrier Cross,no,,DAVOREN PARK
Maltese X,no,,ELIZABETH
American Staffordshire Terrier,no,,ELIZABETH DOWNS
Mastiff X,no,,ELIZABETH EAST
Cavalier King Charles Spaniel X,no,,ELIZABETH VALE
American Staffordshire Terrier Cross,no,,MUNNO PARA
Shih Tzu,no,,ELIZABETH VALE
Rottweiler,no,,DAVOREN PARK
Staffordshire Bull Terrier,no,,DAVOREN PARK
Beagle,yes,,HILLBANK
Chihuahua,no,,ANDREWS FARM
Poodle X,yes,,HILLBANK
Siberian Husky,no,,ELIZABETH DOWNS
Shih Tzu X,yes,,DAVOREN PARK
Chihuahua X,no,,SMITHFIELD PLAINS
Bulldog,no,,MUNNO PARA
Italian Greyhound,yes,,HILLBANK
Maltese X,yes,,SMITHFIELD PLAINS
American Staffordshire Terrier,no,,ELIZABETH VALE
Cocker Spaniel,no,,CRAIGMORE
Fox Terrier (Smooth)  X,no,,ELIZABETH DOWNS
Staffordshire Bull Terrier X,no,,ELIZABETH NORTH
Alaskan Malamute X,no,,ANDREWS FARM
Labrador Retriever,no,,ELIZABETH PARK
Siberian Husky X,yes,,MUNNO PARA
Rottweiler,yes,,DAVOREN PARK
Labrador Retriever,no,,ELIZABETH PARK
Boxer,no,,CRAIGMORE
Staffordshire Bull Terrier X,yes,,ELIZABETH SOUTH
Labrador Retriever,yes,,MUNNO PARA
Staffordshire Bull Terrier,no,,ELIZABETH NORTH
Unknown,yes,,ELIZABETH
Cavalier King Charles Spaniel,no,,HILLBANK
Pomeranian X,no,,ELIZABETH VALE
Irish Wolfhound X,no,,BLAKEVIEW
Maltese X,yes,,MUNNO PARA WEST
Staffordshire Bull Terrier,no,,DAVOREN PARK
Maltese,yes,,ULEYBURY
Staffordshire Bull Terrier,no,,DAVOREN PARK
Staffordshire Bull Terrier,yes,,BLAKEVIEW
Irish Wolfhound X,no,,BIBARINGA
Staffordshire Bull Terrier,yes,,ELIZABETH GROVE
Staffordshire Bull Terrier,yes,,ELIZABETH GROVE
Staffordshire Bull Terrier,no,,ELIZABETH VALE
Maltese X,no,,ELIZABETH DOWNS
Labrador Retriever X,no,,BLAKEVIEW
Bichon Frise x,yes,,ANGLE VALE
Bichon Frise x,yes,,ANGLE VALE
Staffordshire Bull Terrier,no,,CRAIGMORE
Irish Wolfhound,no,,SMITHFIELD PLAINS
German Shepherd Dog,no,,DAVOREN PARK
Labrador Retriever,no,,ELIZABETH SOUTH
Shar Pei,no,,DAVOREN PARK
German Shepherd Dog,no,,ULEYBURY
Border Collie,yes,,CRAIGMORE
Bullmastiff X,no,,ELIZABETH DOWNS
Great Dane,no,,BLAKEVIEW
German Shepherd Dog,no,,ELIZABETH
Maltese X,no,,DAVOREN PARK
Border Collie X,no,,ELIZABETH NORTH
Siberian Husky,no,,HILLBANK
Staffordshire Bull Terrier,no,,ANDREWS FARM
X Breed,no,,SMITHFIELD PLAINS
Chihuahua,yes,,SMITHFIELD PLAINS
Chihuahua X,yes,,ANDREWS FARM
Maltese X,yes,,MUNNO PARA
Australian Cattle Dog X,no,,ELIZABETH EAST
Maltese X,no,,BLAKEVIEW
American Staffordshire Terrier Cross,yes,,MUNNO PARA
Maltese,yes,,ANDREWS FARM
Maltese,yes,,ANDREWS FARM
Labrador Retriever X,yes,,CRAIGMORE
Maltese X,no,,BLAKEVIEW
Beagle X,yes,,MUNNO PARA WEST
Chihuahua,no,,BLAKEVIEW
Staffordshire Bull Terrier X,no,,ELIZABETH PARK
German Shepherd Dog,no,,ELIZABETH EAST
Staffordshire Bull Terrier,no,,ANDREWS FARM
King Charles Spaniel X,yes,,BLAKEVIEW
King Charles Spaniel X,yes,,BLAKEVIEW
Staffordshire Bull Terrier,no,,ELIZABETH SOUTH
Staffordshire Bull Terrier,yes,,ELIZABETH SOUTH
Staffordshire Bull Terrier,no,,MUNNO PARA WEST
Whippet,no,,EVANSTON PARK
Alaskan Malamute X,no,,ELIZABETH DOWNS
Pomeranian,no,,ELIZABETH EAST
Staffordshire Bull Terrier X,no,,ELIZABETH EAST
Staffordshire Bull Terrier X,no,,DAVOREN PARK
Shih Tzu,no,,SMITHFIELD PLAINS
Shar Pei,no,,ELIZABETH DOWNS
Maltese X,yes,,CRAIGMORE
Shih Tzu X,yes,,MUNNO PARA
Bulldog,no,,CRAIGMORE
German Shepherd Dog,no,,MUNNO PARA WEST
Maltese X,no,,VIRGINIA
Staffordshire Bull Terrier X,no,,ELIZABETH SOUTH
Maltese X,no,,DAVOREN PARK
Maltese X,no,,ELIZABETH EAST
Staffordshire Bull Terrier,no,,ANDREWS FARM
Maltese X,no,,ELIZABETH GROVE
Jack Russell Terrier,no,,ELIZABETH GROVE
Staffordshire Bull Terrier,no,,MUNNO PARA WEST
Labrador Retriever,yes,,MUNNO PARA WEST
Australian Cattle Dog,yes,,ELIZABETH VALE
German Shepherd Dog,yes,,ELIZABETH VALE
Maltese X,yes,,ELIZABETH NORTH
Rottweiler,no,,CRAIGMORE
Golden Retriever,yes,,ANGLE VALE
Dogue De Bordeaux,yes,,MUNNO PARA WEST
Dachshund (Miniature),yes,,ANDREWS FARM
Staffordshire Bull Terrier,no,,MUNNO PARA
Siberian Husky,yes,,BLAKEVIEW
King Charles Spaniel,yes,,BLAKEVIEW
Australian Cattle Dog X,yes,,ELIZABETH GROVE
Maremma Sheepdog,no,,ELIZABETH PARK
Akita X,yes,,HILLBANK
Rottweiler X,no,,ELIZABETH PARK
Staffordshire Bull Terrier X,no,,MUNNO PARA
Staffordshire Bull Terrier,yes,,ELIZABETH VALE
Dalmation,no,,ELIZABETH EAST
Dachshund (Miniature),yes,,ANDREWS FARM
Siberian Husky,yes,,SMITHFIELD PLAINS
Siberian Husky,no,,WATERLOO CORNER
Australian Cattle Dog X,no,,ELIZABETH GROVE
Siberian Husky,no,,ELIZABETH GROVE
Shih Tzu X,no,,ELIZABETH VALE
Chihuahua X,no,,ELIZABETH VALE
Puli,yes,,ELIZABETH EAST
Chihuahua X,no,,ANDREWS FARM
Chihuahua X,no,,ELIZABETH EAST
Pug,yes,,WATERLOO CORNER
Staffordshire Bull Terrier,no,,ELIZABETH VALE
Rottweiler,no,,ELIZABETH EAST
Rottweiler,yes,,ELIZABETH EAST
Shih Tzu X,no,,SMITHFIELD
Greyhound,yes,,BLAKEVIEW
Boxer X,yes,,ELIZABETH NORTH
Bulldog,yes,,ELIZABETH NORTH
Border Collie,no,,MACDONALD PARK
Staffordshire Bull Terrier X,no,,ELIZABETH PARK
Rottweiler,no,,ELIZABETH NORTH
Chihuahua,yes,,ONE TREE HILL
Mastiff X,yes,,HILLBANK
Siberian Husky,no,,ANDREWS FARM
Maltese,yes,,ULEYBURY
Greyhound,no,,ELIZABETH EAST
Greyhound,no,,ELIZABETH EAST
Staffordshire Bull Terrier X,yes,,BLAKEVIEW
Beagle,yes,,BLAKEVIEW
Border Collie,no,,ANDREWS FARM
Mastiff X,no,,ELIZABETH PARK
Australian Kelpie X,yes,,ANGLE VALE
Australian Cattle Dog X,yes,,ELIZABETH EAST
Border Collie X,yes,,ELIZABETH DOWNS
American Staffordshire Terrier,yes,,MUNNO PARA
Chihuahua,no,,DAVOREN PARK
American Staffordshire Terrier Cross,yes,,CRAIGMORE
German Shepherd Dog,no,,MUNNO PARA WEST
Maltese,no,,ELIZABETH PARK
Dutch Shepherd,yes,,ELIZABETH EAST
Labrador Retriever X,no,,ANDREWS FARM
Staffordshire Bull Terrier X,no,,DAVOREN PARK
Cocker Spaniel,yes,,MUNNO PARA WEST
Australian Cattle Dog X,yes,,ANDREWS FARM
Jack Russell Terrier X,yes,,MUNNO PARA WEST
Chihuahua,yes,,CRAIGMORE
Maltese X,yes,,CRAIGMORE
American Staffordshire Terrier,yes,,PENFIELD
Chihuahua,no,,CRAIGMORE
Labrador Retriever X,yes,,BLAKEVIEW
Staffordshire Bull Terrier,yes,,ANDREWS FARM
Rottweiler,yes,,ANDREWS FARM
Staffordshire Bull Terrier X,yes,,MUNNO PARA WEST
Staffordshire Bull Terrier X,yes,,ELIZABETH VALE
Maltese X,yes,,DAVOREN PARK
Unknown,no,,DAVOREN PARK
Staffordshire Bull Terrier X,yes,,MUNNO PARA WEST
Staffordshire Bull Terrier X,yes,,BLAKEVIEW
Staffordshire Bull Terrier X,yes,,ELIZABETH PARK
Labrador Retriever X,yes,,ELIZABETH VALE
Siberian Husky,no,,SMITHFIELD
Beagle X,yes,,BLAKEVIEW
Jack Russell Terrier X,yes,,ELIZABETH GROVE
Labrador Retriever,yes,,ELIZABETH GROVE
Maltese X,no,,ELIZABETH PARK
Staffordshire Bull Terrier X,yes,,MUNNO PARA
Labrador Retriever X,yes,,MUNNO PARA WEST
Staffordshire Bull Terrier,no,,ELIZABETH VALE
Australian Cattle Dog X,no,,ELIZABETH PARK
Australian Kelpie,no,,ELIZABETH
Mastiff,no,,ELIZABETH GROVE
Shar Pei X,no,,ELIZABETH SOUTH
German Shepherd Dog,yes,,ELIZABETH SOUTH
Maltese X,no,,CRAIGMORE
Staffordshire Bull Terrier,yes,,SMITHFIELD PLAINS
Bull Terrier (Miniature),yes,,MUNNO PARA WEST
Bull Terrier,no,,MUNNO PARA WEST
Australian Kelpie X,yes,,DAVOREN PARK
Maltese X,yes,,MUNNO PARA WEST
Siberian Husky,yes,,BLAKEVIEW
Siberian Husky,yes,,BLAKEVIEW
American Staffordshire Terrier,no,,ELIZABETH EAST
Shih Tzu X,no,,DAVOREN PARK
Shih Tzu,no,,DAVOREN PARK
German Shepherd Dog X,no,,DAVOREN PARK
Pomeranian X,yes,,ANDREWS FARM
Rhodesian Ridgeback,no,,DAVOREN PARK
Miniature Pinscher,yes,,DAVOREN PARK
Australian Kelpie X,yes,,ANDREWS FARM
Maltese X,yes,,CRAIGMORE
Maltese X,yes,,ELIZABETH VALE
Rottweiler,no,,ANDREWS FARM
Australian Cattle Dog,no,,DAVOREN PARK
Staffordshire Bull Terrier X,no,,BLAKEVIEW
Tenterfield Terrier,no,,DAVOREN PARK
German Shepherd Dog X,no,,ANDREWS FARM
Staffordshire Bull Terrier,yes,,MUNNO PARA DOWNS
Tenterfield Terrier,yes,,DAVOREN PARK
Maltese X,yes,,DAVOREN PARK
Cairn Terrier X,yes,,MUNNO PARA WEST
Lhasa Apso X,yes,,MUNNO PARA WEST
Maltese X,yes,,CRAIGMORE
Shih Tzu X,yes,,MUNNO PARA
Maltese X,no,,MUNNO PARA
Staffordshire Bull Terrier X,no,,ELIZABETH SOUTH
Australian Kelpie,no,,DAVOREN PARK
Staffordshire Bull Terrier X,no,,DAVOREN PARK
Maltese X,no,,BLAKEVIEW
Maltese,yes,,DAVOREN PARK
Maltese X,no,,ELIZABETH NORTH
Beagle,yes,,CRAIGMORE
Rottweiler,no,,DAVOREN PARK
Poodle X,yes,,ANGLE VALE
Jack Russell Terrier,yes,,DAVOREN PARK
Staffordshire Bull Terrier,no,,DAVOREN PARK
Bearded Collie,no,,MUNNO PARA
Jack Russell Terrier X,no,,BLAKEVIEW
Jack Russell Terrier X,no,,BLAKEVIEW
Mastiff X,no,,DAVOREN PARK
Dogue De Bordeaux X,yes,,DAVOREN PARK
Labrador Retriever,no,,DAVOREN PARK
German Shepherd Dog,no,,DAVOREN PARK
Siberian Husky,no,,DAVOREN PARK
Cavalier King Charles Spaniel,yes,,DAVOREN PARK
Pomeranian X,no,,DAVOREN PARK
Rhodesian Ridgeback,yes,,ELIZABETH PARK
Jack Russell Terrier X,yes,,CRAIGMORE
Poodle (Miniature),yes,,YATTALUNGA
Chinese Crested Dog,yes,,DAVOREN PARK
Labrador Retriever,no,,DAVOREN PARK
Chihuahua X,yes,,ELIZABETH NORTH
Maltese X,yes,,ELIZABETH NORTH
Maltese X,yes,,ELIZABETH NORTH
Maltese X,yes,,ELIZABETH NORTH
Mastiff X,yes,,ELIZABETH EAST
German Shepherd Dog X,yes,,ELIZABETH EAST
Maltese X,no,,ELIZABETH DOWNS
Maltese X,yes,,ELIZABETH EAST
Labrador Retriever,yes,,ELIZABETH NORTH
Bassett Hound,yes,,ELIZABETH NORTH
Poodle,yes,,MUNNO PARA WEST
Cavalier King Charles Spaniel,yes,,MUNNO PARA WEST
Shar Pei,yes,,DAVOREN PARK
Labrador Retriever,yes,,SMITHFIELD
Rottweiler X,no,,ELIZABETH NORTH
Australian Cattle Dog,no,,DAVOREN PARK
Border Collie,yes,,PENFIELD
Maltese,yes,,DAVOREN PARK
Shar Pei,yes,,DAVOREN PARK
American Staffordshire Terrier,yes,,ANDREWS FARM
Staffordshire Bull Terrier X,no,,DAVOREN PARK
Jack Russell Terrier,no,,DAVOREN PARK
Golden Retriever,no,,HILLBANK
Shih Tzu X,no,,CRAIGMORE
Staffordshire Bull Terrier,no,,DAVOREN PARK
Staffordshire Bull Terrier X,no,,DAVOREN PARK
Golden Retriever,yes,,HILLBANK
Jack Russell Terrier,yes,,DAVOREN PARK
