Breed_Description,desexed,sex,Suburb
Jack Russell Terrier X,yes,Female,HILLBANK
Jack Russell Terrier X,yes,Female,HILLBANK
Pointer,no,Male,ELIZABETH EAST
Pomeranian X,no,Male,DAVOREN PARK
Maltese X,no,Male,HILLBANK
Collie (Rough Coat) X,yes,Female,ANGLE VALE
Maltese,yes,Female,CRAIGMORE
Australian Kelpie,no,Male,VIRGINIA
Fox Terrier (Smooth),no,Male,CRAIGMORE
Maltese X,yes,Female,ELIZABETH NORTH
Australian Shepherd,no,Male,BLAKEVIEW
Poodle X,no,Male,ELIZABETH GROVE
Pomeranian,no,Female,ELIZABETH GROVE
Skye Terrier,no,Male,CRAIGMORE
Maltese X,yes,Male,CRAIGMORE
Tenterfield Terrier,yes,Male,ELIZABETH
Chihuahua,no,Female,CRAIGMORE
Maltese X,no,Male,CRAIGMORE
Cavalier King Charles Spaniel,no,Female,CRAIGMORE
Australian Kelpie X,yes,Male,BIBARINGA
Border Collie,yes,Female,BIBARINGA
Jack Russell Terrier,no,Male,ANDREWS FARM
Jack Russell Terrier,yes,Female,ANGLE VALE
Rhodesian Ridgeback,yes,Female,CRAIGMORE
Border Collie X,no,Female,ANDREWS FARM
Maltese X,no,Female,CRAIGMORE
Border Collie,yes,Male,DAVOREN PARK
Chihuahua X,no,Female,ELIZABETH PARK
Poodle,no,Male,ELIZABETH NORTH
Shih Tzu,no,Female,CRAIGMORE
Collie (Rough),no,Female,ELIZABETH DOWNS
Labrador Retriever,yes,Female,ELIZABETH GROVE
Australian Cattle Dog X,yes,Female,CRAIGMORE
Tenterfield Terrier,no,Male,ANDREWS FARM
Tenterfield Terrier,yes,Female,MUNNO PARA
Poodle X,yes,Male,ELIZABETH SOUTH
Tibetan Spaniel,yes,Male,BLAKEVIEW
Staffordshire Bull Terrier,no,Male,ELIZABETH DOWNS
Australian Silky Terrier,yes,Female,BLAKEVIEW
Maltese X,yes,Male,HILLBANK
Australian Terrier,no,Male,ELIZABETH GROVE
Maltese X,no,Male,BLAKEVIEW
Australian Cattle Dog X,no,Female,ELIZABETH EAST
